,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,NS_2,NS_1,AP.7,AP.8,AP.9,AP.10
T1,1.0,0.9182330713380945,0.9528998002224772,0.9024296722194547,0.9270904019698308,0.9029132822578595,0.9619776821278913,0.8824551137177329,0.9037988304337372,0.8854738570946558,0.9601726830299223,0.8982558944108582,0.8979723637522625,0.9017266200867318,0.9053600011695463,0.8931005545290285,0.8925980549783296,0.9167099833384249,0.8553882154768723,0.8854277120793376,0.9529053491442706,0.9419481273914415,0.9268672502433656,0.9347811973479035,0.9354206290651756,0.9548585479847492
T2,0.9182330713380945,1.0,0.9360218020222272,0.9232391814946527,0.9320536747400379,0.9251096004580539,0.8906410091088921,0.9168348116167782,0.9111565568058159,0.9099890439532421,0.9050548555561948,0.9109485769029444,0.9092222200935979,0.8892416282841012,0.9251284785674999,0.926366897823634,0.9290487594057224,0.941515929491857,0.8909069678079957,0.9337374235922373,0.9005620877570141,0.9067069237610069,0.8957443462019874,0.9087331304935228,0.9147525617442273,0.922430533307608
T3,0.9528998002224772,0.9360218020222272,1.0,0.9282188934262249,0.935759633635897,0.9383729247441202,0.9354034584547274,0.9127462220661794,0.9221107560844376,0.9210419252104697,0.9384874903194689,0.9136415474922509,0.9191028485369731,0.9041924038720858,0.9360793009041585,0.9228361217212028,0.9294585203715534,0.9431846421009452,0.9015708892907291,0.920775847443177,0.9365362540729093,0.939718252711656,0.9240088791444758,0.9319603429331642,0.9366623261413632,0.944755664896357
T4,0.9024296722194547,0.9232391814946527,0.9282188934262249,1.0,0.8946845701126949,0.9412586915562715,0.8591367159727834,0.9223335294748087,0.921889350254174,0.9338325507876082,0.896375356988815,0.9083114490815122,0.9119344915983656,0.8861802582876852,0.9217626868519045,0.9051888488964747,0.9251368077820459,0.9213801316073724,0.8944157338745408,0.9250710113103277,0.8760303160420868,0.8707313169407299,0.8749443437766001,0.8794809881980036,0.884807186476732,0.8891852736832251
T5,0.9270904019698308,0.9320536747400379,0.935759633635897,0.8946845701126949,1.0,0.9100684334725995,0.9020230702425983,0.9070362915013225,0.8984098123118762,0.9163506157388102,0.9097721488133229,0.9159241920575937,0.9251735693600254,0.8992284339511953,0.9226819163409857,0.9228997478723306,0.9247362270910292,0.9507142560081914,0.8981942673800324,0.9109301703567977,0.9191910478619467,0.9199574305509154,0.9100201140545829,0.9319442196199301,0.933903309171087,0.9316445658275617
T6,0.9029132822578595,0.9251096004580539,0.9383729247441202,0.9412586915562715,0.9100684334725995,1.0,0.8662816256143037,0.9279497869599254,0.9206550467848165,0.9331553593051286,0.8852055433007249,0.8961394788967987,0.9267265244743431,0.8718348288852207,0.9313561389253253,0.9122353262959187,0.9402215822518077,0.9301278639270887,0.9109497190225758,0.9250856040094257,0.8776065955169802,0.8762815236799457,0.8828517290168811,0.8862467346307308,0.8995080616534721,0.9030528576254793
T7,0.9619776821278913,0.8906410091088921,0.9354034584547274,0.8591367159727834,0.9020230702425983,0.8662816256143037,1.0,0.8380258092183902,0.8797293203634564,0.8460419324099127,0.9585612350688477,0.8683184716918776,0.8620062188938883,0.8804892335044779,0.8774352976250624,0.8532472733901976,0.8624626290710461,0.8751482046373227,0.8275922985890567,0.8451024428718051,0.9521978649795106,0.9462563943058658,0.9178114946328784,0.9213624198520352,0.9257921297430517,0.9442165195372466
T8,0.8824551137177329,0.9168348116167782,0.9127462220661794,0.9223335294748087,0.9070362915013225,0.9279497869599254,0.8380258092183902,1.0,0.9084257318333164,0.9288788896468783,0.8657993051262074,0.9010442415569422,0.9047734371481628,0.8759194629775608,0.9102564507564999,0.9111779140841475,0.9204614580774032,0.9269193423129477,0.8959495968751676,0.9254058423081419,0.8565194293957005,0.8578841369141693,0.8759386279939281,0.8642515390652741,0.8871026318880958,0.8761142701516084
T9,0.9037988304337372,0.9111565568058159,0.9221107560844376,0.921889350254174,0.8984098123118762,0.9206550467848165,0.8797293203634564,0.9084257318333164,1.0,0.9127727613849621,0.8983361268663205,0.9023170910741651,0.9054648660516376,0.9043922930039247,0.9183701597184933,0.9062925417061052,0.9112120979316704,0.91441983864402,0.9035909597166086,0.8995642325252884,0.8684134409021885,0.8745513468579424,0.8697934769333295,0.8797094429064476,0.8776770290766189,0.8973630598402684
T10,0.8854738570946558,0.9099890439532421,0.9210419252104697,0.9338325507876082,0.9163506157388102,0.9331553593051286,0.8460419324099127,0.9288788896468783,0.9127727613849621,1.0,0.8759399225092213,0.9023716652674415,0.9260236133625188,0.8778111597225172,0.9151063001397319,0.9147679554218142,0.9428202491926436,0.9300697304725972,0.9277428691505951,0.92717140521475,0.8743241294857514,0.8721929926982117,0.8788441505885642,0.8864621114428313,0.891053799704793,0.8873620189784058
T11,0.9601726830299223,0.9050548555561948,0.9384874903194689,0.896375356988815,0.9097721488133229,0.8852055433007249,0.9585612350688477,0.8657993051262074,0.8983361268663205,0.8759399225092213,1.0,0.8980123057363257,0.8885025726929063,0.9005176035894144,0.9000080363754923,0.8722881867163137,0.8818905753369343,0.8910082154692892,0.8467444583300759,0.867021508987152,0.9532493915442326,0.9375687477086316,0.922711461487123,0.9307294580699735,0.9226382714593139,0.9451635381731828
T12,0.8982558944108582,0.9109485769029444,0.9136415474922509,0.9083114490815122,0.9159241920575937,0.8961394788967987,0.8683184716918776,0.9010442415569422,0.9023170910741651,0.9023716652674415,0.8980123057363257,1.0,0.8986933052252478,0.9075613207574732,0.9209274132941682,0.903473707804539,0.9024719598516538,0.9247039900088784,0.8793853344872122,0.9127176306337673,0.8723313883514967,0.872891163018515,0.8595118871429546,0.8712688587224762,0.8757566388414887,0.8845597209853975
T13,0.8979723637522625,0.9092222200935979,0.9191028485369731,0.9119344915983656,0.9251735693600254,0.9267265244743431,0.8620062188938883,0.9047734371481628,0.9054648660516376,0.9260236133625188,0.8885025726929063,0.8986933052252478,1.0,0.8865893387442955,0.9120942656067352,0.9029145130499869,0.9332263120862593,0.9255992059160396,0.9068488566120319,0.9174650087093259,0.8825053853230231,0.8745325966032229,0.8801067569634733,0.8989138510117316,0.8978777699265801,0.900251423115805
T14,0.9017266200867318,0.8892416282841012,0.9041924038720858,0.8861802582876852,0.8992284339511953,0.8718348288852207,0.8804892335044779,0.8759194629775608,0.9043922930039247,0.8778111597225172,0.9005176035894144,0.9075613207574732,0.8865893387442955,1.0,0.8753484103615223,0.8767494106387264,0.8849391298074197,0.8907079370789045,0.858266091312074,0.8676552403399549,0.8724036865029379,0.8691566039845207,0.8645718930032907,0.8773338780370389,0.8767277583188966,0.8935315525053623
T15,0.9053600011695463,0.9251284785674999,0.9360793009041585,0.9217626868519045,0.9226819163409857,0.9313561389253253,0.8774352976250624,0.9102564507564999,0.9183701597184933,0.9151063001397319,0.9000080363754923,0.9209274132941682,0.9120942656067352,0.8753484103615223,1.0,0.9189798996018888,0.9216329407419867,0.9373733754503629,0.8990409767635227,0.921356941918678,0.8816924962636044,0.8891786149876431,0.884095559536903,0.8876847884552926,0.8956289855406272,0.9011907719042542
T16,0.8931005545290285,0.926366897823634,0.9228361217212028,0.9051888488964747,0.9228997478723306,0.9122353262959187,0.8532472733901976,0.9111779140841475,0.9062925417061052,0.9147679554218142,0.8722881867163137,0.903473707804539,0.9029145130499869,0.8767494106387264,0.9189798996018888,1.0,0.9257440062857203,0.9452332895261704,0.9011516218079877,0.9329090386477058,0.8710301813624631,0.8813996189778187,0.865568905571854,0.8938653669801404,0.8863755992313204,0.8962285838331411
T17,0.8925980549783296,0.9290487594057224,0.9294585203715534,0.9251368077820459,0.9247362270910292,0.9402215822518077,0.8624626290710461,0.9204614580774032,0.9112120979316704,0.9428202491926436,0.8818905753369343,0.9024719598516538,0.9332263120862593,0.8849391298074197,0.9216329407419867,0.9257440062857203,1.0,0.9384484509319743,0.9445477195645704,0.9465754609486003,0.8850384173871114,0.893465192323912,0.8854155135131007,0.9051188136629146,0.9094772854055581,0.9080283416736822
T18,0.9167099833384249,0.941515929491857,0.9431846421009452,0.9213801316073724,0.9507142560081914,0.9301278639270887,0.8751482046373227,0.9269193423129477,0.91441983864402,0.9300697304725972,0.8910082154692892,0.9247039900088784,0.9255992059160396,0.8907079370789045,0.9373733754503629,0.9452332895261704,0.9384484509319743,1.0,0.9130205640135057,0.9459949312955861,0.8992375696803725,0.905003885000058,0.8953456093450965,0.9179557961565017,0.9165462539457931,0.9186249353730798
T19,0.8553882154768723,0.8909069678079957,0.9015708892907291,0.8944157338745408,0.8981942673800324,0.9109497190225758,0.8275922985890567,0.8959495968751676,0.9035909597166086,0.9277428691505951,0.8467444583300759,0.8793853344872122,0.9068488566120319,0.858266091312074,0.8990409767635227,0.9011516218079877,0.9445477195645704,0.9130205640135057,1.0,0.9211719346286833,0.8481916252580008,0.8658700060348901,0.8523619400407018,0.874247302209654,0.8761222086500366,0.8735626561028025
T20,0.8854277120793376,0.9337374235922373,0.920775847443177,0.9250710113103277,0.9109301703567977,0.9250856040094257,0.8451024428718051,0.9254058423081419,0.8995642325252884,0.92717140521475,0.867021508987152,0.9127176306337673,0.9174650087093259,0.8676552403399549,0.921356941918678,0.9329090386477058,0.9465754609486003,0.9459949312955861,0.9211719346286833,1.0,0.8646316488602268,0.8795855607087779,0.8630790606027634,0.8795869564090574,0.88740635729618,0.8896913620061029
NS_2,0.9529053491442706,0.9005620877570141,0.9365362540729093,0.8760303160420868,0.9191910478619467,0.8776065955169802,0.9521978649795106,0.8565194293957005,0.8684134409021885,0.8743241294857514,0.9532493915442326,0.8723313883514967,0.8825053853230231,0.8724036865029379,0.8816924962636044,0.8710301813624631,0.8850384173871114,0.8992375696803725,0.8481916252580008,0.8646316488602268,1.0,0.966601195086109,0.9456747249005035,0.9511003224074182,0.9444746855880959,0.9493063960512702
NS_1,0.9419481273914415,0.9067069237610069,0.939718252711656,0.8707313169407299,0.9199574305509154,0.8762815236799457,0.9462563943058658,0.8578841369141693,0.8745513468579424,0.8721929926982117,0.9375687477086316,0.872891163018515,0.8745325966032229,0.8691566039845207,0.8891786149876431,0.8813996189778187,0.893465192323912,0.905003885000058,0.8658700060348901,0.8795855607087779,0.966601195086109,1.0,0.945119834723888,0.9486579550803406,0.9543774708581176,0.9452545039914911
AP.7,0.9268672502433656,0.8957443462019874,0.9240088791444758,0.8749443437766001,0.9100201140545829,0.8828517290168811,0.9178114946328784,0.8759386279939281,0.8697934769333295,0.8788441505885642,0.922711461487123,0.8595118871429546,0.8801067569634733,0.8645718930032907,0.884095559536903,0.865568905571854,0.8854155135131007,0.8953456093450965,0.8523619400407018,0.8630790606027634,0.9456747249005035,0.945119834723888,1.0,0.9330683992213662,0.963170825738158,0.9272864596567265
AP.8,0.9347811973479035,0.9087331304935228,0.9319603429331642,0.8794809881980036,0.9319442196199301,0.8862467346307308,0.9213624198520352,0.8642515390652741,0.8797094429064476,0.8864621114428313,0.9307294580699735,0.8712688587224762,0.8989138510117316,0.8773338780370389,0.8876847884552926,0.8938653669801404,0.9051188136629146,0.9179557961565017,0.874247302209654,0.8795869564090574,0.9511003224074182,0.9486579550803406,0.9330683992213662,1.0,0.943497400816561,0.9631427371606258
AP.9,0.9354206290651756,0.9147525617442273,0.9366623261413632,0.884807186476732,0.933903309171087,0.8995080616534721,0.9257921297430517,0.8871026318880958,0.8776770290766189,0.891053799704793,0.9226382714593139,0.8757566388414887,0.8978777699265801,0.8767277583188966,0.8956289855406272,0.8863755992313204,0.9094772854055581,0.9165462539457931,0.8761222086500366,0.88740635729618,0.9444746855880959,0.9543774708581176,0.963170825738158,0.943497400816561,1.0,0.9435957294607443
AP.10,0.9548585479847492,0.922430533307608,0.944755664896357,0.8891852736832251,0.9316445658275617,0.9030528576254793,0.9442165195372466,0.8761142701516084,0.8973630598402684,0.8873620189784058,0.9451635381731828,0.8845597209853975,0.900251423115805,0.8935315525053623,0.9011907719042542,0.8962285838331411,0.9080283416736822,0.9186249353730798,0.8735626561028025,0.8896913620061029,0.9493063960512702,0.9452545039914911,0.9272864596567265,0.9631427371606258,0.9435957294607443,1.0
