,GSM2674214,GSM2674208,GSM2674209,GSM2674210,GSM2674211,GSM2674212,GSM2674213,GSM2674215,GSM2674216,GSM2674197,GSM2674198,GSM2674199,GSM2674200,GSM2674201,GSM2674202,GSM2674203,GSM2674204,GSM2674205,GSM2674206,GSM2674207,NS_2,NS_1,GSM3304959,GSM3304960,GSM3304973,GSM3304975,GSM3304984,GSM3304985,GSM3304993,GSM3305051,GSM3305089,AP.7,AP.8,AP.9,AP.10,SSA.P.1,SSA.P.2,SSA.P.3,SSA.P.4,SSA.P.5,SSA.P.6,SSA.P.7,SSA.P.8,SSA.P.9,SSA.P.10,SSA.P.11,SSA.P.12,SSA.P.13,SSA.P.14,SSA.P.15,SSA.P.16,SSA.P.17,SSA.P.18,SSA.P.19,SSA.P.20,SSA.P.21
GSM2674214,1.0,0.9181300533955059,0.952796601963937,0.9020510615794044,0.926883277536812,0.902610028666665,0.9620466165351004,0.8820309397288657,0.9036332336673311,0.8851006759194802,0.9601309261343164,0.8981135433251363,0.897596782232859,0.9013651997534748,0.9051896146013733,0.8927364293157202,0.8923108146823259,0.9165993848080563,0.8549055496707331,0.88509896909754,0.9529388264117474,0.9419756643276834,0.9293135921711426,0.8861473531684688,0.9242073425143774,0.9044754300628733,0.9423076154011607,0.9236727144581216,0.9460949019592313,0.9357315631072054,0.9209677220902158,0.9268235688592573,0.9347587310944275,0.935390713365987,0.9548158699913786,0.9302797475052229,0.9499840951033528,0.9185564455522282,0.9406292889283472,0.956887468024753,0.9230186734104827,0.9580543258406201,0.9434184288003982,0.9531752001081396,0.9505824631126399,0.9582156435273671,0.9339819788931147,0.9426717286093211,0.9323196303708979,0.9577720059843334,0.9208904168978759,0.8884041466275415,0.9378260722270043,0.9616764014600155,0.8957070745989388,0.9274449654876934
GSM2674208,0.9181300533955059,1.0,0.935917333344219,0.9229410846080487,0.9318429710355844,0.9248838749843238,0.8906623930883127,0.9164391367300193,0.9110898909395635,0.9096619116078888,0.9049796375395743,0.910808220731311,0.9089270941455191,0.8888416139468308,0.9250612997281484,0.9260070382105876,0.9287719777437119,0.9413690430920602,0.8904049634961176,0.9334317119579709,0.9004909062005483,0.9065916985888257,0.8975746356226301,0.8433233590061116,0.8810724130700589,0.8503736880709645,0.8965320503844958,0.9023191733343442,0.9185097546910397,0.8842059721168963,0.8544605606734282,0.8956262750933498,0.9086277226294417,0.9145563314973566,0.922310639595653,0.9018437405114916,0.9336072672351067,0.9163442976582074,0.9318040611360109,0.9260653845456769,0.9201563122007728,0.9163952442778177,0.9061124026542265,0.9171041014186997,0.914339487368392,0.9065810922463372,0.898578734007557,0.9240330931158183,0.9143457664400423,0.9296123049607657,0.9046467046539165,0.9025531181152766,0.9043896806931588,0.9184549373635883,0.8279682939476971,0.8977708530322817
GSM2674209,0.952796601963937,0.935917333344219,1.0,0.9279863242043583,0.9355458124229228,0.9381854619962846,0.9353758426610231,0.9124758203216791,0.9220136131507486,0.9208181900113088,0.9384276479379156,0.913559009395931,0.9187771116658268,0.9038783539964154,0.9359836112482128,0.922648956519209,0.9292687840749088,0.9431405755616709,0.9012313085636051,0.9206048462309231,0.9365140747921419,0.9397309565212343,0.9274721743444583,0.8792786229777224,0.9160299132527194,0.8875657785756,0.929271598970641,0.9267505269150043,0.9379590194435891,0.9261113860776258,0.9005927517777558,0.9239162233725197,0.9318735715717815,0.9366270745185422,0.9446536839948958,0.9181142546415791,0.9520881247952243,0.9258632151350553,0.9436008090731446,0.9499935387007369,0.9269926078874735,0.9494194736503831,0.9348652745077188,0.9430885044361589,0.9403472363196169,0.934987886954794,0.917471219301356,0.9472066965810955,0.9343487224419892,0.951552843946988,0.9135305406106906,0.905226464685785,0.9285813820472353,0.9474811077766532,0.8686411212368359,0.9193239057505029
GSM2674210,0.9020510615794044,0.9229410846080487,0.9279863242043583,1.0,0.8942025921744171,0.9411319777226638,0.858801563201817,0.9221028934476261,0.9218561090226614,0.9336341722092396,0.8961130516115201,0.908125770526614,0.91169265600403,0.8858716907805256,0.9216019152754608,0.9049469708720701,0.9249703372201413,0.9211072274739726,0.8940437260769847,0.9249060331277058,0.8757096827770121,0.8704482539240559,0.8787501035481086,0.8198397402544889,0.8546824286829862,0.8351538344487361,0.8818650854487897,0.8852087990437799,0.8845443318743237,0.86846879090258,0.8605591979072402,0.8746720680983383,0.8792193824318861,0.8844917494385783,0.8887775844926238,0.8866622615544357,0.9151650996645292,0.8883786624945308,0.9103182302138887,0.9054219352990944,0.8834990490669132,0.9015131393076014,0.8928885025101493,0.9156250647623616,0.9068646127748708,0.9018099921170867,0.8973456890661826,0.8852569300043104,0.882644090555643,0.907413926795608,0.8932831728860294,0.8835952189781866,0.8798511058554158,0.9016064695330376,0.821829198150435,0.8960521650512739
GSM2674211,0.926883277536812,0.9318429710355844,0.9355458124229228,0.8942025921744171,1.0,0.909731819626804,0.9020117495692768,0.9065330715553195,0.8981807368035549,0.91599090340495,0.9095696988392736,0.9158560425612293,0.924876673331258,0.898756417327149,0.922586450763147,0.9225218969550437,0.9244458278118414,0.9505846474455474,0.8977015538287383,0.9104590823893266,0.91920805395947,0.9198563540839267,0.8969043875684684,0.8355302299733076,0.8771449775634793,0.8491861474145906,0.8915761858440581,0.8928003611603212,0.9524914892473946,0.8737536187871335,0.8424974559063877,0.909895450924746,0.9318936123871595,0.9337587117670332,0.9315159989285605,0.9138082551554594,0.9433186482799305,0.9250285625146997,0.9377075815642926,0.9404971538874798,0.9164640142170831,0.921052883828574,0.9207003201864156,0.9278681824839705,0.9226546753655572,0.9239826430862529,0.9038026751755588,0.9400571717612115,0.942128387857312,0.9445397501713658,0.9250856606339809,0.9083392512129957,0.9328963845140261,0.9366104834010555,0.8396218289401775,0.8972218507434976
GSM2674212,0.902610028666665,0.9248838749843238,0.9381854619962846,0.9411319777226638,0.909731819626804,1.0,0.866031792389103,0.9277569523127454,0.9206486994839271,0.9330093026582856,0.885001711403337,0.8960360268275731,0.926612309269176,0.8714733537227815,0.9312101985323454,0.9119683687665209,0.9400528938588858,0.9299734903657566,0.9106298935963352,0.9249469517949894,0.8773190124080361,0.876044118056748,0.8615692230846775,0.796066638298249,0.8441963620940254,0.8060571800231241,0.876079931129969,0.8721521540886017,0.8940691230717743,0.8587448483704985,0.8342858984397472,0.8826760620080748,0.8860174989375436,0.8992814455052842,0.9027238777968895,0.8718835515457188,0.909839603446822,0.8757238175540739,0.8993821748313341,0.9057946242416895,0.8774034658180565,0.9039730475644566,0.8888210414518625,0.9100079657054342,0.9048099307679414,0.9010582725965707,0.8827396938271697,0.8966478988592625,0.8785674693209845,0.9092649248354211,0.875224145425395,0.8648149204432142,0.9023868493105017,0.9029267518495913,0.8433132206599355,0.8855606092871151
GSM2674213,0.9620466165351004,0.8906623930883127,0.9353758426610231,0.858801563201817,0.9020117495692768,0.866031792389103,1.0,0.8376902518782117,0.8795425899759605,0.8457866688467995,0.9585710700697895,0.868208741436279,0.8616710306225213,0.8802517476751238,0.877252775678864,0.8530329873734962,0.8623038646389131,0.8751689136377039,0.8272964089007783,0.8448611455405937,0.9522509732236263,0.9462963957919528,0.9268678036521919,0.8897386552847374,0.9230850502579702,0.9058501751197681,0.9362376307785117,0.9117910035792604,0.9280154621745038,0.9357606939941581,0.9151856355688299,0.9177467787235986,0.9213496095596527,0.9259707123803448,0.9443471588623773,0.9170451068439981,0.9352051607451977,0.9020415501263922,0.9173360863956501,0.9438481797389877,0.9157208073461771,0.9474501694831393,0.931925258069578,0.9313553478155228,0.931150856537562,0.9364807460371266,0.9096470924119312,0.9345825407197437,0.9155775598226668,0.9446037584707176,0.8982465417074557,0.8687924405628001,0.9217256578829067,0.9448112317149022,0.8874853742711557,0.911186845663395
GSM2674215,0.8820309397288657,0.9164391367300193,0.9124758203216791,0.9221028934476261,0.9065330715553195,0.9277569523127454,0.8376902518782117,1.0,0.9083800184649847,0.9286740323100464,0.8654901421066998,0.9009419093049422,0.9045584000698653,0.8755584398832706,0.9100791866774427,0.9108858921763464,0.9202692246297599,0.9266520583726628,0.895547432894131,0.9252811742275184,0.8562028672901385,0.857560977740064,0.8572010249954222,0.791094324996347,0.8326851113384943,0.7946315256344392,0.8630828992182338,0.8660457919124926,0.8832149463292089,0.8426377287308311,0.8144510879512141,0.875671178278389,0.8639093117940367,0.8867973612596849,0.8756555470152851,0.8661549749950518,0.9071788251844869,0.872947135496574,0.9002334629568619,0.9030321285556433,0.8649538611669101,0.8821996620885076,0.8721830021215204,0.8888994424073097,0.8771851596880984,0.8814856476847092,0.8693681566982099,0.873959258297791,0.8742433881555187,0.8992014607544637,0.8722293793644542,0.8751796466219431,0.8804277365416125,0.881779620999273,0.8148660960090063,0.8678258344042066
GSM2674216,0.9036332336673311,0.9110898909395635,0.9220136131507486,0.9218561090226614,0.8981807368035549,0.9206486994839271,0.8795425899759605,0.9083800184649847,1.0,0.9127373577189603,0.8982344015455501,0.9023962810935666,0.9053215503952902,0.9042506170003912,0.9183864324244662,0.9062782181114154,0.9111607785346173,0.91438199107734,0.903395486877253,0.8996752365337607,0.8682351877340382,0.8745390282482011,0.8892539640940651,0.8257351963320054,0.8675547673759497,0.85059480100151,0.8856625438224166,0.8807634266352176,0.8889973191179511,0.873818630056009,0.8600752207256805,0.8696860203834305,0.8795944777844144,0.8775911548574082,0.8972591012261992,0.9009887004740897,0.9199511810936374,0.9001610914068923,0.9036864413625891,0.9118351715615588,0.9103259900382897,0.9208371910223098,0.9200755481203131,0.9224844631776972,0.9182431409675009,0.918201453160909,0.9174795349656537,0.9026025845668717,0.8690470006557087,0.9233638167748892,0.897188837710457,0.8916912062477526,0.895660829309952,0.9044569360476543,0.8429053752585931,0.9040664271534002
GSM2674197,0.8851006759194802,0.9096619116078888,0.9208181900113088,0.9336341722092396,0.91599090340495,0.9330093026582856,0.8457866688467995,0.9286740323100464,0.9127373577189603,1.0,0.8756774424222145,0.9021671729431007,0.9258196963400496,0.87742394043133,0.9149801875520556,0.9145301943675039,0.9427266074472062,0.9298409402778359,0.9274886414818952,0.926938292159708,0.8741066969189167,0.8719839437914101,0.8605771746889004,0.797556140576661,0.8392914364172852,0.8065018361097525,0.8629643804172378,0.8661876202556743,0.8957835997842192,0.8463214462451886,0.8235740886561665,0.8786033977328971,0.886233723582244,0.8907512391064613,0.8869382523257542,0.8698289644636144,0.9072900069840567,0.8754895417989375,0.8988516728094974,0.9025322926974755,0.8698920548515785,0.8889950238185779,0.8814989556027493,0.8976327974076154,0.8902128273674054,0.8904792649089935,0.8754447356268887,0.8896879132568858,0.8865924608390835,0.9004603046477024,0.8793645761230986,0.8679633182918789,0.8903215427380192,0.8965940873695002,0.8186091558926235,0.8715879722475498
GSM2674198,0.9601309261343164,0.9049796375395743,0.9384276479379156,0.8961130516115201,0.9095696988392736,0.885001711403337,0.9585710700697895,0.8654901421066998,0.8982344015455501,0.8756774424222145,1.0,0.8979178279689842,0.8882183737552789,0.9003446412602363,0.899865161026162,0.8720616890410142,0.8817518538355464,0.8909436504393251,0.8463696480918118,0.8668207954047813,0.9532636839803112,0.9376187643542142,0.9334260351938439,0.8916075495388825,0.9197648588140809,0.9019655019973313,0.9380367666332323,0.9237907687869292,0.9316084819641853,0.9257501699204196,0.9201295284392831,0.9227243204701298,0.9307864353064172,0.9226791053793169,0.9451424619172767,0.9245369725523853,0.9472532905122218,0.9095954776323749,0.929906533125778,0.9499278270596563,0.9169289937826527,0.9554919123696264,0.9393728894327688,0.9459107476506152,0.9418179542891414,0.9489911748100133,0.925119457453483,0.935220170985639,0.9156765325624954,0.951101200392665,0.9136231369870512,0.8787851171942281,0.9256332217601849,0.9554414832622057,0.8906883038244243,0.9135999426501894
GSM2674199,0.8981135433251363,0.910808220731311,0.913559009395931,0.908125770526614,0.9158560425612293,0.8960360268275731,0.868208741436279,0.9009419093049422,0.9023962810935666,0.9021671729431007,0.8979178279689842,1.0,0.8985208132491115,0.9074189333080517,0.920880121441348,0.903299554442432,0.9023294509271381,0.9245997967669388,0.8791076994653282,0.9125360641356992,0.8722190006304825,0.8728900938827266,0.9066110705062014,0.8493545047988373,0.8797324320215046,0.8599351759461517,0.9000348127146727,0.9113465210085687,0.8936667996332363,0.8807231999714416,0.8745408166145472,0.8593978687850566,0.8711019552101387,0.8756312571947709,0.8842526600768554,0.9038822379001575,0.924416895091901,0.9115190855286637,0.9242467270991526,0.9118437694343937,0.9048344384718798,0.9031059979200705,0.9085778395460158,0.9252292134840814,0.9159642958378634,0.9112536673993187,0.9173902670424644,0.8954379423405888,0.8915220811825422,0.9232904396166546,0.9153919332582213,0.909877033766227,0.8678949125832005,0.9031825271346737,0.802614551585979,0.9112676547264577
GSM2674200,0.897596782232859,0.9089270941455191,0.9187771116658268,0.91169265600403,0.924876673331258,0.926612309269176,0.8616710306225213,0.9045584000698653,0.9053215503952902,0.9258196963400496,0.8882183737552789,0.8985208132491115,1.0,0.886282752255687,0.9118354659832624,0.9026882118909525,0.9330264166057107,0.9253950803233769,0.9065194374708894,0.9173306087333092,0.8822238482134916,0.8743664052128494,0.8653719867283084,0.7971016325035396,0.8396869829900521,0.8119599884096124,0.8707601236509733,0.8654145689067262,0.9036160101118825,0.8491734080575958,0.8314042861348024,0.8798600483198419,0.8986654859219697,0.897685494714174,0.8998766133405287,0.8838920722366482,0.9111960431840257,0.8833672433948455,0.9066927456161321,0.9063286183217426,0.8768877819518115,0.9000851395118388,0.8924707201712415,0.9078645371865304,0.904265052394802,0.9028895111887818,0.8834634306370999,0.8985709830173562,0.8886483893636434,0.9091209927966749,0.8909541844288632,0.8717480885315706,0.9017736540952205,0.9118155413052685,0.831323358400322,0.8793296553378808
GSM2674201,0.9013651997534748,0.8888416139468308,0.9038783539964154,0.8858716907805256,0.898756417327149,0.8714733537227815,0.8802517476751238,0.8755584398832706,0.9042506170003912,0.87742394043133,0.9003446412602363,0.9074189333080517,0.886282752255687,1.0,0.8749744216406823,0.876402493662619,0.8845744498164423,0.8903260399878469,0.8577644302181833,0.8673172210271203,0.8720986403878265,0.8689057812802525,0.9029515212873417,0.8429709871772817,0.8681359235443005,0.8716877446647816,0.8993150674310945,0.8903815161435422,0.892294815252481,0.87598492023538,0.8664366501260057,0.8642119108724247,0.87703236404035,0.8764163735872031,0.8931550757848156,0.9267791710656945,0.927407405052346,0.9108322372964395,0.919503685378819,0.9196280319219512,0.900809085945049,0.9151595236408935,0.9142525568608738,0.922158534791846,0.9159262789396337,0.9219026141327938,0.9128463156821928,0.8973770032899727,0.8726221595101548,0.9309770796439792,0.9125926819329875,0.9019529388315113,0.8856639576684538,0.917596711996897,0.8276681388890264,0.9074769166881173
GSM2674202,0.9051896146013733,0.9250612997281484,0.9359836112482128,0.9216019152754608,0.922586450763147,0.9312101985323454,0.877252775678864,0.9100791866774427,0.9183864324244662,0.9149801875520556,0.899865161026162,0.920880121441348,0.9118354659832624,0.8749744216406823,1.0,0.9187977000914006,0.9214773473418756,0.9373690199073473,0.898766159979363,0.921254585199664,0.8815475419651314,0.8890281596869765,0.884393995062327,0.8187483171148388,0.8673920429403644,0.8370555787303939,0.8822971548249227,0.891149034047688,0.8989830858490431,0.8679083722560839,0.8547554275225068,0.8838774679504576,0.8874125218312445,0.8955747432568482,0.9010490758279479,0.8839031883608998,0.9234681189889414,0.8939641497104561,0.9067715165453756,0.9152332995273192,0.9111670195921698,0.9159605665902969,0.9103226120258314,0.9267874240233127,0.9200812629653177,0.9127744582968923,0.9073925448813136,0.9013404504308831,0.8910834603957628,0.917683385033158,0.8947427114654316,0.8873996975162607,0.9006676974088693,0.9060643854204025,0.8379387883070696,0.8944282997825377
GSM2674203,0.8927364293157202,0.9260070382105876,0.922648956519209,0.9049469708720701,0.9225218969550437,0.9119683687665209,0.8530329873734962,0.9108858921763464,0.9062782181114154,0.9145301943675039,0.8720616890410142,0.903299554442432,0.9026882118909525,0.876402493662619,0.9187977000914006,1.0,0.9256452429221081,0.9449952069016998,0.9009080003280906,0.9327377290013644,0.8707552148579838,0.8811738688994131,0.8694396439055744,0.8175072941637157,0.8626313320851267,0.827890412447134,0.8637374905485333,0.8763686778906925,0.9042088105872311,0.854763137557556,0.8254731911511632,0.8652395022019491,0.8936693185263667,0.8860012582290105,0.8958826783014546,0.8767165306263549,0.9105396551537368,0.8987652947204842,0.9087391432002792,0.8994857300639739,0.8988748677794912,0.8889368024704107,0.8895001266126819,0.8953960356438989,0.894578639760627,0.8867339114070638,0.8829489185336131,0.9061526291723224,0.9034175433366847,0.9075969484125584,0.8907887821183421,0.8885043980089907,0.8812465159374625,0.8945556304995387,0.7914090488611091,0.8779311707105918
GSM2674204,0.8923108146823259,0.9287719777437119,0.9292687840749088,0.9249703372201413,0.9244458278118414,0.9400528938588858,0.8623038646389131,0.9202692246297599,0.9111607785346173,0.9427266074472062,0.8817518538355464,0.9023294509271381,0.9330264166057107,0.8845744498164423,0.9214773473418756,0.9256452429221081,1.0,0.938327985897108,0.9444063723751648,0.9465179195180125,0.8848860343710159,0.8933906142456912,0.8786321205981118,0.8209571505343131,0.8566940208444447,0.8311097270417763,0.8747380168904996,0.8799978742789447,0.9109306160012642,0.861474379265246,0.829730610001112,0.8851273778004332,0.9048667358427143,0.9093341380918293,0.9077484922807454,0.8920269246735559,0.919314627316737,0.9033962783838224,0.9154279853265932,0.9116163119669719,0.8976838181564741,0.8962476563097784,0.8872827416867892,0.8981691164097234,0.895841725006404,0.8903906061392017,0.8770469373361779,0.9162802923051259,0.9050310484392657,0.9132928443587593,0.8932713723114919,0.8908230058662656,0.898412799090515,0.9100341518765611,0.8137980513168297,0.8825480000553807
GSM2674205,0.9165993848080563,0.9413690430920602,0.9431405755616709,0.9211072274739726,0.9505846474455474,0.9299734903657566,0.8751689136377039,0.9266520583726628,0.91438199107734,0.9298409402778359,0.8909436504393251,0.9245997967669388,0.9253950803233769,0.8903260399878469,0.9373690199073473,0.9449952069016998,0.938327985897108,1.0,0.9127056859238244,0.9457344572202409,0.8992664948045871,0.9049801549778904,0.9014307026778012,0.8467886517504029,0.8849064644791401,0.8547850433063501,0.8912528419080064,0.9026501201000355,0.9300962758529456,0.8774812548389451,0.8520618361612879,0.8951868147770572,0.9178962611848981,0.9164111978688978,0.9185239012612363,0.9021935561010901,0.937577832469329,0.9251420263057746,0.9390211924665423,0.9280231433995795,0.9147174302200931,0.9146963119528798,0.9123357951322312,0.9211996350346714,0.9153035679594457,0.9105937149510231,0.9041922464511082,0.9301536990706654,0.9305419369278297,0.933401340001288,0.9172176703113428,0.9164908341602179,0.9049127565998142,0.9216230304285487,0.8158344669580422,0.8945210014587809
