,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,NA_3,NA_1,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
SSP_4,0.9105098616849266,0.9052779733801815,0.9224970076206005,0.9037692993323753,0.9029012237975934,0.9025558396094432,0.8910246641475329,0.9145061025228275,0.907921163253876,0.9114567008113913,0.9279679048183588,0.9276708611421199,0.9263042702316465,0.9182010667225209,0.9115189813033829,0.8806782185015197,0.9195231642787381,0.8691652404274172,0.9280591259945076,0.8965729371037603,0.9082848862344612,0.92877505131232,1.0,0.9420729500113296,0.9417085578339042,0.9351436264276219,0.7939640345050163,0.7413172198692813,0.6910183273589459,0.8386754217265402,0.9067244285462602,0.9258317921797288,0.9227839407054581,0.9293893710949332,0.9264754096576073,0.9445772840635932,0.90653360432161,0.9308612000098163,0.9151794319470349,0.9191011917913103,0.932855450264121,0.9400266673241969,0.9357461568866033,0.9128734488926252,0.9424857727486259,0.9235479074315325
SSP_3,0.9488416768635896,0.9453469655685091,0.9449596453312509,0.9170342187989863,0.9202168828182339,0.922851804640847,0.912790378442865,0.9401945381036583,0.9431259388049534,0.9427334847627965,0.9495860300900982,0.9464798881536606,0.9460255582356768,0.9437191085380692,0.9445777857262446,0.9187985145354601,0.9490176296255511,0.9198835492056662,0.9471846210136907,0.9257586920355465,0.9083428834296944,0.9252047092308099,0.9420729500113296,1.0,0.9789839014480999,0.9795670715355637,0.7650454758373058,0.8089571133151534,0.7093397832006573,0.8404432034977792,0.9159335689617532,0.923696418003479,0.9103887066436761,0.928782288231851,0.9382047596184989,0.9392091057200913,0.9244923075823042,0.935424908809566,0.9320872376688671,0.9339240348532208,0.935365456722017,0.9450552258817172,0.9365053808891951,0.9239979473411112,0.9365352991360868,0.9326561608050408
SSP_7,0.9417284781454316,0.9380621184822783,0.9386886471554352,0.9123285879396053,0.9146515124051227,0.9174519256380208,0.8990455959230566,0.9373774796088435,0.9404881525452038,0.9372367731989365,0.937712924139733,0.9399535179652195,0.9417823610046174,0.938909507298267,0.932361034983344,0.9088734155546618,0.9325690669340448,0.9106969934999576,0.9420030853845872,0.9152978034317655,0.9038200965837391,0.9145954878664059,0.9417085578339042,0.9789839014480999,1.0,0.9771871250596892,0.772330159290956,0.8061221134987949,0.7161198544308987,0.8401839816353314,0.9177481925752425,0.9255984364613342,0.8988965843267518,0.9302781893322434,0.93239274771667,0.9296024167136492,0.9230078090921947,0.933079098314826,0.9327348794987484,0.9241744292474013,0.9261455649027076,0.9400956885943537,0.9314036049908793,0.9154689957620086,0.9367397225600329,0.9363567906648591
SSP_8,0.9324357906745123,0.9271036407715395,0.926329675673205,0.9038713271157515,0.9041170970223641,0.9109948777333394,0.8981509698370813,0.9257428255025181,0.936174483300426,0.9297112392611828,0.9325100929246878,0.9289671575438401,0.9297134393208044,0.9276396716580753,0.9223538328658204,0.9036377979844733,0.9296173057479845,0.9055130191640351,0.930794294222317,0.908389848701934,0.8940337619945073,0.9071959023392487,0.9351436264276219,0.9795670715355637,0.9771871250596892,1.0,0.7778109781826483,0.8374843419068808,0.7295716344294451,0.8515297136540719,0.901427691802968,0.9106969500636308,0.8766397072344767,0.91277593179473,0.9223430060966505,0.9165006239396233,0.9020796411139218,0.9177428690458995,0.914799149201405,0.9136537188517234,0.9163789092394943,0.9367694367627633,0.9256447558919549,0.9050853369341536,0.9279342920310872,0.9446946387122965
CA.1,0.7086954694285623,0.7143852352585268,0.7061771967885418,0.713523922853141,0.7142150508611143,0.7194570204300096,0.7215290426769159,0.7290954905519039,0.7341972159899921,0.7337648277361212,0.722639872228839,0.7327575851077581,0.7197163166733945,0.706679928050739,0.7074069967308148,0.7315474394567073,0.7233238711010034,0.7214913853088176,0.732038163209265,0.7300267363674365,0.7548591855714545,0.7461863903508438,0.7939640345050163,0.7650454758373058,0.772330159290956,0.7778109781826483,1.0,0.8214220607727585,0.8484133457526244,0.9092167272842762,0.7774674016496472,0.7780196010197927,0.7237965367483754,0.7677309686731363,0.768338450324941,0.7542010615074755,0.7654510091907077,0.7813472457702848,0.7494759398450763,0.7651640223273972,0.7772163155939225,0.8073280055032076,0.7870665332871932,0.709173080399844,0.7297126105399281,0.8095989283022598
CA.2,0.7650511545882278,0.7668190759639751,0.7408105829377453,0.760251358391937,0.7609273104433385,0.7790838177734406,0.7749137326372038,0.7776888351414997,0.8052772041270065,0.7917870845168197,0.7671559154542549,0.7673127361761739,0.7572811367638529,0.7578859402520416,0.740601031908737,0.8060325497939984,0.7728306751298988,0.8050366679172296,0.7708833967964379,0.7876280178163103,0.7816895116348103,0.748735508871591,0.7413172198692813,0.8089571133151534,0.8061221134987949,0.8374843419068808,0.8214220607727585,1.0,0.820387063379786,0.8959273014209771,0.7725204408283397,0.7572381836853427,0.6761592824499705,0.7536458995386729,0.7753021468857606,0.7308890294758743,0.7644321779132116,0.782739465362617,0.7494612663259205,0.7603258991738061,0.7752805619338734,0.7891574266512316,0.7998676107768584,0.7179982275573719,0.7218563288930862,0.8503915617162173
CA.3,0.6727698731305827,0.6731835283754228,0.6553917661984691,0.6071126628438202,0.6121134888506269,0.6216289099881052,0.6199433153314353,0.6503027407464635,0.6801690043814882,0.6660829720439998,0.6423023189393896,0.660238673026849,0.6427675799538327,0.6243525466549953,0.6580902453377858,0.6463946827218946,0.6459220926341357,0.6753960130140508,0.6519172174876469,0.6472566722446922,0.6599091516430075,0.6578664189375537,0.6910183273589459,0.7093397832006573,0.7161198544308987,0.7295716344294451,0.8484133457526244,0.820387063379786,1.0,0.8547158909624797,0.7268269306627994,0.7331795120019727,0.6487412744826772,0.7045731585947703,0.712218634677474,0.678395905991646,0.6998602892620597,0.7073073915832886,0.7057425941635621,0.7157979993578547,0.6856044784316679,0.7461530925342598,0.7121113153155624,0.6568588399314623,0.6606438035752605,0.7372514648545817
CA.4,0.8004833124374742,0.8056265425789735,0.7935778855296126,0.804385453284476,0.8087267611903497,0.8163643399046918,0.813444476358218,0.8235773037283585,0.8333010459278698,0.8303043270207375,0.8144443138465369,0.8226677152684305,0.8109785876471994,0.804650469297045,0.7921347966570588,0.8243124402418083,0.818757085852881,0.8091250264035388,0.8193573571490539,0.8177330441926102,0.8438752278768215,0.8297304915010301,0.8386754217265402,0.8404432034977792,0.8401839816353314,0.8515297136540719,0.9092167272842762,0.8959273014209771,0.8547158909624797,1.0,0.843150670751369,0.8396680069463143,0.7807728788537974,0.8350333125801341,0.8390761574571903,0.821924020861489,0.8368676630853503,0.8524114088520051,0.8212571162909026,0.8376981411892721,0.8472481428123538,0.8557245072170817,0.8469905863059959,0.7863500305576558,0.7960480557350119,0.8743334756401645
CL.1,0.9549601107630248,0.9536400363310031,0.9574580099005953,0.9170627532153717,0.92315906117472,0.9228248388869639,0.9078824131829085,0.9493082328174599,0.9420184048957301,0.9535739521536496,0.9460663174777795,0.9570183325752267,0.9502524745312682,0.9399069294889454,0.9451656938720203,0.9217913810039327,0.9445388083383857,0.9150469419082174,0.952612909553381,0.9352273297406534,0.9528871203802903,0.9506716432010307,0.9067244285462602,0.9159335689617532,0.9177481925752425,0.901427691802968,0.7774674016496472,0.7725204408283397,0.7268269306627994,0.843150670751369,1.0,0.9705226692573342,0.9395208968185532,0.9647963871693674,0.9488404761208098,0.9504740036277697,0.9643993141133134,0.9595756820768641,0.9595892769328136,0.9607663893968004,0.9455459338236407,0.9392434375340126,0.9126286676951632,0.9092559650494746,0.9077241004323788,0.9016464317875411
CL.2,0.9505381335030536,0.9437657511945978,0.9566829472034291,0.9144774981447701,0.9125226635877872,0.9161825606288061,0.8971214447378473,0.9369788302102634,0.9349044521952456,0.9430235555641421,0.9443569447517105,0.9543702598983345,0.9467602867059115,0.9335207176822619,0.9418740791751579,0.9025123015242937,0.9355505342230497,0.9022225012602759,0.9505287979428795,0.9220960361716024,0.9357703116020071,0.941382991368468,0.9258317921797288,0.923696418003479,0.9255984364613342,0.9106969500636308,0.7780196010197927,0.7572381836853427,0.7331795120019727,0.8396680069463143,0.9705226692573342,1.0,0.9479446336720829,0.9616836637933025,0.9547470162512229,0.9586804256338617,0.9536334518250495,0.9583780473229198,0.960242526160858,0.9547939709020432,0.9344817716565939,0.9482551546642459,0.924484367509684,0.9267532147119311,0.9315066333494898,0.9076034410948883
CL.3,0.9341119682740965,0.9277613204814542,0.9418549198535513,0.8988662241958386,0.9017032841190301,0.8984284193929699,0.8875973409083479,0.9205001696162292,0.9069668650661544,0.9199479593787635,0.937332537651859,0.9397618242963662,0.9329926470267199,0.9219314033690021,0.9372289136393945,0.8824459347204251,0.9286399570471404,0.8819007467967072,0.9343352551752154,0.9061355979290283,0.9207150928925681,0.9426367725815314,0.9227839407054581,0.9103887066436761,0.8988965843267518,0.8766397072344767,0.7237965367483754,0.6761592824499705,0.6487412744826772,0.7807728788537974,0.9395208968185532,0.9479446336720829,1.0,0.9406816618610103,0.9389262892348103,0.9610262058882694,0.9370438205674173,0.9409877207143844,0.9419194524204787,0.9464565522263494,0.9410333777639267,0.9304541904266206,0.9151239665071355,0.9403307239666814,0.9221333584252027,0.8587786710079014
CL.4,0.9554147557717582,0.9520165490875352,0.9599520815444087,0.9242727235061877,0.9308115162175102,0.927694665876681,0.9126704629786726,0.950563412897387,0.9457214513735509,0.9514228641824953,0.9502625088163635,0.9611819788856228,0.958738986808367,0.9505095970817539,0.9455398364623289,0.9201629754785355,0.9519021431856082,0.9075406151935572,0.9597897259504675,0.9333018544255747,0.9453311337082165,0.9573575114024224,0.9293893710949332,0.928782288231851,0.9302781893322434,0.91277593179473,0.7677309686731363,0.7536458995386729,0.7045731585947703,0.8350333125801341,0.9647963871693674,0.9616836637933025,0.9406816618610103,1.0,0.9535149303935241,0.9647050414534414,0.9654427777510141,0.9712994410116924,0.9615154322721221,0.9595652475066723,0.9516603100970508,0.9282671042511584,0.9166929013049824,0.9194738816774459,0.9198151044368238,0.8988617622776505
CL.5,0.9534244173970047,0.9432210262305463,0.954412801946884,0.9238645877606333,0.9225148503766936,0.9252104127354869,0.9149335622977803,0.9466388855608774,0.9497913721988631,0.9437975271530229,0.958685710182076,0.9575844274115597,0.9580360285860319,0.9418649145494246,0.956878562395796,0.9124614626692833,0.9443884170050011,0.9202235891815006,0.9608053577474343,0.928411442280877,0.929959446310638,0.9398062047707709,0.9264754096576073,0.9382047596184989,0.93239274771667,0.9223430060966505,0.768338450324941,0.7753021468857606,0.712218634677474,0.8390761574571903,0.9488404761208098,0.9547470162512229,0.9389262892348103,0.9535149303935241,1.0,0.9618861684565778,0.9576350602225397,0.9617416292189582,0.9521572268756547,0.9629004297048946,0.9456841415335971,0.956041312259567,0.9476568359916634,0.9418010812525183,0.945194386571664,0.9202018478171591
CL.6,0.9513106790387436,0.9500071427258436,0.963046896275203,0.9311268254291609,0.9358478419186991,0.9310188053707391,0.9229120537669648,0.9485093584547898,0.937550393670518,0.9460954231957877,0.9601929201083576,0.9613366865535006,0.9608865286903722,0.9514929129523909,0.9578781186385323,0.9128926427172075,0.9568150655684025,0.9041494484237045,0.9618031909465268,0.9344136166928414,0.9392110633677009,0.9632815028175375,0.9445772840635932,0.9392091057200913,0.9296024167136492,0.9165006239396233,0.7542010615074755,0.7308890294758743,0.678395905991646,0.821924020861489,0.9504740036277697,0.9586804256338617,0.9610262058882694,0.9647050414534414,0.9618861684565778,1.0,0.9574084242401405,0.9677035800191398,0.9537384451704517,0.9684056793911324,0.958567676146477,0.9428933245279943,0.9381817286871416,0.9379548870203402,0.9392715825681417,0.9004303662256183
CL.7,0.9530166027989928,0.9587716010677605,0.957132796621025,0.9214398423044398,0.9331005025786722,0.9289520364569812,0.9162044422588466,0.9562739321133804,0.9445895909976397,0.9545304628765048,0.9507958928198511,0.959989103202567,0.958934347519881,0.9507405362937118,0.9527280893111493,0.9280333938009098,0.9512511639620943,0.9153212261924021,0.9605863777242422,0.9376917662291177,0.9396732028897016,0.9485148848624949,0.90653360432161,0.9244923075823042,0.9230078090921947,0.9020796411139218,0.7654510091907077,0.7644321779132116,0.6998602892620597,0.8368676630853503,0.9643993141133134,0.9536334518250495,0.9370438205674173,0.9654427777510141,0.9576350602225397,0.9574084242401405,1.0,0.966827448823048,0.9597820879563148,0.9651335019804682,0.9446442048853539,0.9258185817209471,0.9095305854916093,0.914260751403422,0.9116284659642443,0.8926600819939177
CL.8,0.9536583890724021,0.9510873691884669,0.9590256361892598,0.9402987433773834,0.9424559972678941,0.9427783739259623,0.9299531096184472,0.9547935646912886,0.9516845599764675,0.9559936700282151,0.9561400209505627,0.9668429165015802,0.9619977991941635,0.9533662832994676,0.9452162474366758,0.9368411654468594,0.9565835294957455,0.9272176955245574,0.9682011286461942,0.9488715013487851,0.9537634307643447,0.9568192394514581,0.9308612000098163,0.935424908809566,0.933079098314826,0.9177428690458995,0.7813472457702848,0.782739465362617,0.7073073915832886,0.8524114088520051,0.9595756820768641,0.9583780473229198,0.9409877207143844,0.9712994410116924,0.9617416292189582,0.9677035800191398,0.966827448823048,1.0,0.952677965642164,0.9615629359836548,0.9591655601671407,0.9374659903197867,0.9448631813106528,0.9211374332596857,0.9190992912321883,0.9139587766145024
CL.9,0.957273693621428,0.9539885201533758,0.9588652530744667,0.9100250065859534,0.9186568768158173,0.9177856737715883,0.8992438090250441,0.9463802799396386,0.9427836934962357,0.9462291153002401,0.9471245187164565,0.9559493039749732,0.9559073429520258,0.9451702354622503,0.9505735885637867,0.9053936210578775,0.9409000751058315,0.9037302238858741,0.9502982256372359,0.9217196855579772,0.9280671154127554,0.9421453789017511,0.9151794319470349,0.9320872376688671,0.9327348794987484,0.914799149201405,0.7494759398450763,0.7494612663259205,0.7057425941635621,0.8212571162909026,0.9595892769328136,0.960242526160858,0.9419194524204787,0.9615154322721221,0.9521572268756547,0.9537384451704517,0.9597820879563148,0.952677965642164,1.0,0.9556411244389876,0.9354694049312978,0.936570695786717,0.906125801876221,0.9265938377437113,0.9317863516083954,0.8894898984030044
CL.10,0.9547230458391274,0.956857369195562,0.9571569773661717,0.9206527744627365,0.9289743634019928,0.9259712252249096,0.921103178358874,0.9537850338750459,0.9455268598885856,0.9516399142816896,0.9558815989639876,0.9606920490540858,0.9575232581311998,0.9455713309193313,0.9614446883352479,0.918324635245461,0.9560891826031114,0.9163750456411082,0.955287886590923,0.9331580297118519,0.9339462182192233,0.9593169188404764,0.9191011917913103,0.9339240348532208,0.9241744292474013,0.9136537188517234,0.7651640223273972,0.7603258991738061,0.7157979993578547,0.8376981411892721,0.9607663893968004,0.9547939709020432,0.9464565522263494,0.9595652475066723,0.9629004297048946,0.9684056793911324,0.9651335019804682,0.9615629359836548,0.9556411244389876,1.0,0.9561489598644843,0.9403413186872172,0.9255184695952843,0.9364971329508043,0.9229219429076183,0.8978948483262851
HP.1,0.9452639376818496,0.9472799949771693,0.9494757495019304,0.940453834404017,0.9468375349760042,0.9436017913625816,0.9409359702106096,0.956083599567036,0.9459715200096288,0.957232153129334,0.9590577985359201,0.9615815005910668,0.9574724928958402,0.9521008123411938,0.9448193165924517,0.9389997608762174,0.9603323586325128,0.9219647519403047,0.9585324214506469,0.9479002383791645,0.9559124712501934,0.9647050676002173,0.932855450264121,0.935365456722017,0.9261455649027076,0.9163789092394943,0.7772163155939225,0.7752805619338734,0.6856044784316679,0.8472481428123538,0.9455459338236407,0.9344817716565939,0.9410333777639267,0.9516603100970508,0.9456841415335971,0.958567676146477,0.9446442048853539,0.9591655601671407,0.9354694049312978,0.9561489598644843,1.0,0.9338940929750491,0.9455139374909923,0.926089777999136,0.9134685396318647,0.9146044195121312
HP.2,0.9324249199919196,0.9197737462517281,0.9301899225154562,0.9006887241294026,0.8940859365651104,0.9022205827881037,0.8913649613617001,0.9229170321510819,0.9309999115256864,0.9240982847001781,0.9363085933717311,0.934980739833118,0.9306260627691875,0.9139944371948663,0.9314899029226517,0.8926965384938237,0.9200582549919368,0.906229369283386,0.934665948584037,0.9076229600693976,0.9126284939259374,0.9191373451159086,0.9400266673241969,0.9450552258817172,0.9400956885943537,0.9367694367627633,0.8073280055032076,0.7891574266512316,0.7461530925342598,0.8557245072170817,0.9392434375340126,0.9482551546642459,0.9304541904266206,0.9282671042511584,0.956041312259567,0.9428933245279943,0.9258185817209471,0.9374659903197867,0.936570695786717,0.9403413186872172,0.9338940929750491,1.0,0.9465698187708019,0.933374201564576,0.9420426012849971,0.9355719965871747
HP.3,0.9234927073475057,0.9140673328563672,0.9274594201612596,0.9205605477112301,0.9121673244672353,0.9170187021572245,0.9109548505836628,0.9196127406917654,0.9261700740552982,0.922322846877587,0.934335491122416,0.9361876010708757,0.9297176345575512,0.915417649562237,0.9219005372346853,0.909449486629818,0.9242050892408934,0.9208706927214559,0.9426416646449021,0.9275525333290229,0.9172006911907247,0.9207680366762394,0.9357461568866033,0.9365053808891951,0.9314036049908793,0.9256447558919549,0.7870665332871932,0.7998676107768584,0.7121113153155624,0.8469905863059959,0.9126286676951632,0.924484367509684,0.9151239665071355,0.9166929013049824,0.9476568359916634,0.9381817286871416,0.9095305854916093,0.9448631813106528,0.906125801876221,0.9255184695952843,0.9455139374909923,0.9465698187708019,1.0,0.924127267093205,0.9213590414761431,0.9377310792415947
HP.4,0.9336704000603668,0.9264295566808131,0.9343658878530846,0.9095126352911159,0.9058313756608806,0.9114444515347905,0.8981886581070919,0.9287298036619154,0.9282376131573096,0.928133985479447,0.9426054181944602,0.9370369171779809,0.933371460652856,0.9260787524189482,0.9357051408515418,0.8873802438849788,0.9247077035680504,0.904457601915199,0.9313644146816694,0.9042486725147166,0.9116095459718179,0.9228645303506666,0.9128734488926252,0.9239979473411112,0.9154689957620086,0.9050853369341536,0.709173080399844,0.7179982275573719,0.6568588399314623,0.7863500305576558,0.9092559650494746,0.9267532147119311,0.9403307239666814,0.9194738816774459,0.9418010812525183,0.9379548870203402,0.914260751403422,0.9211374332596857,0.9265938377437113,0.9364971329508043,0.926089777999136,0.933374201564576,0.924127267093205,1.0,0.9453938418096551,0.8907217929076846
HP.5,0.9281391325541227,0.9164625090441845,0.9368513040425389,0.9111487949439724,0.9068293453813976,0.9088718232545928,0.8907557566515865,0.9272771367980074,0.9258096730460628,0.9197927557036116,0.941598736235506,0.9365715925826459,0.9396261965540985,0.9301814667612699,0.9339591966216955,0.8711375181754221,0.9195160788949768,0.8780286651035933,0.9353044935107298,0.8914118611510418,0.8992530312939073,0.9189407732445621,0.9424857727486259,0.9365352991360868,0.9367397225600329,0.9279342920310872,0.7297126105399281,0.7218563288930862,0.6606438035752605,0.7960480557350119,0.9077241004323788,0.9315066333494898,0.9221333584252027,0.9198151044368238,0.945194386571664,0.9392715825681417,0.9116284659642443,0.9190992912321883,0.9317863516083954,0.9229219429076183,0.9134685396318647,0.9420426012849971,0.9213590414761431,0.9453938418096551,1.0,0.9251541986848182
HP.6,0.9062290596034819,0.89728549534046,0.9049464147766704,0.9151635535870019,0.9030343290000431,0.9169387056920317,0.9054549110377506,0.917846108278088,0.9320003451779726,0.9207724762560625,0.9261795223288958,0.9207200104483889,0.9175678169540994,0.9084981327090658,0.8973140750716349,0.9044247417915129,0.911103201485134,0.9030840641198237,0.9271781712892463,0.9084666796790091,0.90679994338991,0.8966806919944333,0.9235479074315325,0.9326561608050408,0.9363567906648591,0.9446946387122965,0.8095989283022598,0.8503915617162173,0.7372514648545817,0.8743334756401645,0.9016464317875411,0.9076034410948883,0.8587786710079014,0.8988617622776505,0.9202018478171591,0.9004303662256183,0.8926600819939177,0.9139587766145024,0.8894898984030044,0.8978948483262851,0.9146044195121312,0.9355719965871747,0.9377310792415947,0.8907217929076846,0.9251541986848182,1.0
