,GSM3305006,GSM3305012,GSM3305060,GSM3305062,GSM3305069,GSM3305076,GSM3305083,GSM3305085,GSM3305086,HP.7,HP.8,HP.9,HP.10,AP.1,AP.2,AP.3,AP.4,AP.5,AP.6
GSM3305006,1.0,0.9227624082793071,0.9247419983204187,0.9391727276628544,0.8839179134343733,0.9357706084472904,0.9465349491722512,0.8608092593947014,0.9234301492277944,0.9178466994398038,0.916890874502616,0.9026666524932483,0.9432900278874441,0.9380202733257049,0.9249199853038688,0.9345721881429241,0.927381161647381,0.8677343402955503,0.8844804327546288
GSM3305012,0.9227624082793071,1.0,0.8902502205690518,0.932858838732618,0.9203113605480108,0.9315546529517686,0.9101874973372538,0.8631439163355217,0.9276492828657058,0.9289141305972156,0.9309754249782086,0.9145122388464655,0.9534887788739069,0.9351401774206035,0.9345694472118736,0.9197285414199429,0.9230183357973692,0.8744372552321803,0.9047849076342308
GSM3305060,0.9247419983204187,0.8902502205690518,1.0,0.930826497547168,0.8622747989477424,0.9131717912056515,0.941138321439041,0.8381867884002149,0.9042062805997548,0.9024237658952817,0.897335959005191,0.8650538009077522,0.9217713484417425,0.9258011804750615,0.9213374876540446,0.9312058704200711,0.9003825658126744,0.7884086036563864,0.871707203886849
GSM3305062,0.9391727276628544,0.932858838732618,0.930826497547168,1.0,0.8942087240065725,0.9445226256625571,0.943192245441284,0.8335086222656324,0.9204040463702696,0.9340951939653037,0.9338903978636458,0.9102403901351669,0.9495234971890166,0.9449802535171766,0.9476173553857007,0.9480081674011289,0.936242681551065,0.8740129485517075,0.900292908253582
GSM3305069,0.8839179134343733,0.9203113605480108,0.8622747989477424,0.8942087240065725,1.0,0.9083387613410481,0.8848410071158865,0.8660964353308899,0.9035302339646651,0.9044883777110715,0.9012587939825686,0.8900277484492701,0.9283352636187054,0.903517419639771,0.9022441928991723,0.8783649698476602,0.8873956168382592,0.8176322993268226,0.8981991869549275
GSM3305076,0.9357706084472904,0.9315546529517686,0.9131717912056515,0.9445226256625571,0.9083387613410481,1.0,0.9366971717875179,0.8295482634172268,0.9217322734319495,0.929683570992972,0.9238665378484335,0.917575714487756,0.9530714547421915,0.9472942685499653,0.9419674402381368,0.9394966447674368,0.945949877051135,0.8856728741217234,0.9171763325875593
GSM3305083,0.9465349491722512,0.9101874973372538,0.941138321439041,0.943192245441284,0.8848410071158865,0.9366971717875179,1.0,0.8559263766639116,0.9286454176867974,0.9046825957660143,0.9064892209884355,0.8795788447014332,0.9350962587667844,0.9471363455925376,0.9373204211421551,0.9477495440997348,0.9320316743322347,0.8632115668199564,0.8940525303077939
GSM3305085,0.8608092593947014,0.8631439163355217,0.8381867884002149,0.8335086222656324,0.8660964353308899,0.8295482634172268,0.8559263766639116,1.0,0.8647705335030005,0.8261401621289801,0.8378142881609779,0.8263198612388876,0.8656146792989861,0.8504497098343753,0.8259189866086196,0.8157052484136844,0.8322634262728502,0.744424979179009,0.8448714031743028
GSM3305086,0.9234301492277944,0.9276492828657058,0.9042062805997548,0.9204040463702696,0.9035302339646651,0.9217322734319495,0.9286454176867974,0.8647705335030005,1.0,0.8983407212192065,0.8959523492780332,0.8758830710693236,0.9354071854033796,0.9481949308824829,0.9230635967254723,0.9304045978957196,0.9240383481331088,0.8620895455208395,0.8911375480325977
HP.7,0.9178466994398038,0.9289141305972156,0.9024237658952817,0.9340951939653037,0.9044883777110715,0.929683570992972,0.9046825957660143,0.8261401621289801,0.8983407212192065,1.0,0.9777676590883224,0.9511064475733516,0.9486971028477097,0.9081030662716326,0.9322447541671287,0.8994756751102521,0.8970877788399922,0.8316143426436851,0.8871652009000077
HP.8,0.916890874502616,0.9309754249782086,0.897335959005191,0.9338903978636458,0.9012587939825686,0.9238665378484335,0.9064892209884355,0.8378142881609779,0.8959523492780332,0.9777676590883224,1.0,0.9356993591263171,0.9433134123903254,0.9070195482777724,0.9448474557921603,0.9001945785601878,0.9100397235177256,0.8365193257811405,0.9179515655750549
HP.9,0.9026666524932483,0.9145122388464655,0.8650538009077522,0.9102403901351669,0.8900277484492701,0.917575714487756,0.8795788447014332,0.8263198612388876,0.8758830710693236,0.9511064475733516,0.9356993591263171,1.0,0.9348005871884004,0.8751433427373512,0.8861764938285445,0.8588590787157049,0.8781454701906176,0.8302977371659,0.8746379258361509
HP.10,0.9432900278874441,0.9534887788739069,0.9217713484417425,0.9495234971890166,0.9283352636187054,0.9530714547421915,0.9350962587667844,0.8656146792989861,0.9354071854033796,0.9486971028477097,0.9433134123903254,0.9348005871884004,1.0,0.9434636743696904,0.9492819682348868,0.9311040300056131,0.9275225538352717,0.8610629627314494,0.9159790899182114
AP.1,0.9380202733257049,0.9351401774206035,0.9258011804750615,0.9449802535171766,0.903517419639771,0.9472942685499653,0.9471363455925376,0.8504497098343753,0.9481949308824829,0.9081030662716326,0.9070195482777724,0.8751433427373512,0.9434636743696904,1.0,0.9478142860816131,0.9678776948288548,0.955496090223602,0.8734840184914545,0.9121475060134104
AP.2,0.9249199853038688,0.9345694472118736,0.9213374876540446,0.9476173553857007,0.9022441928991723,0.9419674402381368,0.9373204211421551,0.8259189866086196,0.9230635967254723,0.9322447541671287,0.9448474557921603,0.8861764938285445,0.9492819682348868,0.9478142860816131,1.0,0.9544568285469819,0.9324428450583669,0.8556147997727787,0.9322489695044925
AP.3,0.9345721881429241,0.9197285414199429,0.9312058704200711,0.9480081674011289,0.8783649698476602,0.9394966447674368,0.9477495440997348,0.8157052484136844,0.9304045978957196,0.8994756751102521,0.9001945785601878,0.8588590787157049,0.9311040300056131,0.9678776948288548,0.9544568285469819,1.0,0.9536958680974779,0.8744412674926689,0.8906257453979178
AP.4,0.927381161647381,0.9230183357973692,0.9003825658126744,0.936242681551065,0.8873956168382592,0.945949877051135,0.9320316743322347,0.8322634262728502,0.9240383481331088,0.8970877788399922,0.9100397235177256,0.8781454701906176,0.9275225538352717,0.955496090223602,0.9324428450583669,0.9536958680974779,1.0,0.8990218997199947,0.91558001282277
AP.5,0.8677343402955503,0.8744372552321803,0.7884086036563864,0.8740129485517075,0.8176322993268226,0.8856728741217234,0.8632115668199564,0.744424979179009,0.8620895455208395,0.8316143426436851,0.8365193257811405,0.8302977371659,0.8610629627314494,0.8734840184914545,0.8556147997727787,0.8744412674926689,0.8990218997199947,1.0,0.8218401108043291
AP.6,0.8844804327546288,0.9047849076342308,0.871707203886849,0.900292908253582,0.8981991869549275,0.9171763325875593,0.8940525303077939,0.8448714031743028,0.8911375480325977,0.8871652009000077,0.9179515655750549,0.8746379258361509,0.9159790899182114,0.9121475060134104,0.9322489695044925,0.8906257453979178,0.91558001282277,0.8218401108043291,1.0
