,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6
N1,1.0,0.9778739713617705,0.9795126137739409,0.9251880836243603,0.9327771726326674,0.9342399560114001,0.9157864525221179,0.9623650303539931,0.9657599421443088,0.9688238998206827,0.9702339569242105,0.9752388192794456,0.9721591122042507,0.9646783691978398,0.972432236412459,0.926231246570125,0.9660568681176183,0.9343755700436197,0.9691179818281829,0.9432704441723039,0.9136411367711371,0.9490766150569486,0.9442511194306262,0.9350702533515439,0.7159561548256684,0.7627963864185392,0.6785594238634026,0.795475842164234,0.9549028150278285,0.9494185480889301,0.933326063184495,0.955901461669851,0.9534473347126086,0.9510143901456125,0.9521747666169287,0.9513139592372374,0.9580365109109449,0.9550898742152064,0.9445252277130319,0.9330048545860935,0.9202107184919343,0.9325509291518804,0.9294496758140595,0.9034968575446908
N2,0.9778739713617705,1.0,0.97788894749472,0.9284353684927106,0.9449001730070715,0.9404189127761431,0.9265156676577733,0.9695988252084596,0.9598041661515967,0.975764764928354,0.9679888595924704,0.9730347879103779,0.9713105824286333,0.9710226669229591,0.9716620079523514,0.9371812464254701,0.9721700138572034,0.9366362816110713,0.9678556086660692,0.9504080115576451,0.9090024810895568,0.9469574219119898,0.9416986712252815,0.9319129016728954,0.7251682211025658,0.7679799065154813,0.6852492274622357,0.8034837895030177,0.953783109309171,0.9434916740050071,0.9269548465908093,0.9535359709844061,0.9456619931247029,0.9504551508493773,0.9584522344731291,0.9502550317097957,0.9557184618015784,0.9592031013160977,0.9473807551929386,0.9227318712291022,0.9135332724309304,0.926674755615228,0.9195804248083185,0.8984234244592205
N3,0.9795126137739409,0.97788894749472,1.0,0.9328990294654222,0.9399962290194173,0.9368439025091533,0.9153476818239543,0.9647636957113803,0.9570995552490423,0.9685846161775703,0.9736537474300723,0.979721505293111,0.9778719670161294,0.9694956788707146,0.9748129769505647,0.9175810251652156,0.9673995932252559,0.919704866603285,0.975694778634295,0.9428416601142985,0.9257348657909191,0.9453486824887026,0.942126691127129,0.929607226536182,0.7166199395007914,0.7410525017468047,0.668546932693818,0.7912290710776215,0.9587332257948111,0.9574048492931951,0.9426441492465935,0.9621235963462509,0.9554672873081316,0.9640051708555359,0.9572251168798442,0.9578826384429543,0.9616098114126448,0.9592481025981459,0.9500573866948323,0.9327617802204027,0.9258824755147996,0.9354377985216146,0.939113757648192,0.9037139019939104
N4,0.9251880836243603,0.9284353684927106,0.9328990294654222,1.0,0.9813284568788315,0.9846732798289825,0.9791196803264209,0.961855624057191,0.9537816175016024,0.9551067931936211,0.9583812185398319,0.9554693568055214,0.958909019094445,0.9575457520714724,0.9145251313644404,0.9575387676996743,0.955836136358805,0.9326269056344488,0.965314350626377,0.9582782413440436,0.9003617483875338,0.9110064944429036,0.9083837223459722,0.9014092925564046,0.7288734115482493,0.7755928469338081,0.6169992035172851,0.8094929220708617,0.9128173398128809,0.907521542875394,0.8902361365400812,0.9200296504045862,0.9193968395077918,0.9253316584040713,0.9169940328054399,0.9383434584683732,0.9038542303770188,0.9170145342130251,0.9401376644496191,0.8970976077541638,0.9191343076780359,0.9023730998924402,0.9049800030495837,0.9195550824693041
N5,0.9327771726326674,0.9449001730070715,0.9399962290194173,0.9813284568788315,1.0,0.982973546173228,0.980146427546415,0.9702727244660709,0.9552721912667947,0.9632819517186192,0.9597576963991001,0.9591240320171425,0.9630462840277642,0.9685521984849351,0.9268276716895916,0.9613307966956316,0.9650349140016845,0.9321534343022125,0.9662836700090195,0.9607269718475544,0.9021483840979851,0.9172183098400691,0.9139086423177911,0.9049823189814726,0.7297988752653329,0.7755874932117166,0.6246679569815167,0.8128761934812911,0.9197966743512924,0.9080259680423304,0.8955696413384526,0.9292202744145568,0.9214802976406314,0.9324716978933104,0.9306016228790891,0.9424968483798907,0.9146235597381613,0.9270752988803522,0.9476140618206597,0.8938524954344355,0.912678370874686,0.901489322422213,0.904119759577085,0.9099509627520007
N6,0.9342399560114001,0.9404189127761431,0.9368439025091533,0.9846732798289825,0.982973546173228,1.0,0.9804304088034754,0.9707126764672993,0.9629589221933601,0.9669342289779829,0.9634746317310399,0.9608306617205588,0.9613364283161516,0.9669965765713194,0.920961650706295,0.9648766092599509,0.9615112264660655,0.9406310575667568,0.9659340391482895,0.9611764400620157,0.8993032028091306,0.9173204820479757,0.9138878668116097,0.9093689510663304,0.733622424902477,0.7938092339912631,0.630395853215371,0.8199026208623287,0.9180028647276975,0.9089310523473115,0.8887707584579483,0.9234195018670865,0.921156459805383,0.9250645410992415,0.9241179187134079,0.9404008429097951,0.9105679651878409,0.9221676862534596,0.9429740461505484,0.8984311011472838,0.9155128695720176,0.9038249308366464,0.9030057532169984,0.9219727584041215
N7,0.9157864525221179,0.9265156676577733,0.9153476818239543,0.9791196803264209,0.980146427546415,0.9804304088034754,1.0,0.9558923564535075,0.9457171001266248,0.9513701578617891,0.9484633318058038,0.9424619767259094,0.9450195806117974,0.9491445220575184,0.9080481338917724,0.9662993189044728,0.954692949005426,0.9382191988127667,0.9520658521502376,0.9606540304755382,0.8856276209031065,0.9047997189192538,0.8953414011226715,0.8944654528719257,0.7349712996982318,0.7897297235381046,0.6265238206668946,0.816658497866277,0.9036204188603096,0.8905066185250213,0.8755638228274643,0.9082211402230813,0.9089016304874823,0.9143827725475361,0.9118088384760327,0.9285447545174909,0.8926384711681817,0.9141806515607583,0.9379995254012542,0.8854551466636313,0.9087624591862534,0.8880435587166602,0.882741129770436,0.9095104694394033
N8,0.9623650303539931,0.9695988252084596,0.9647636957113803,0.961855624057191,0.9702727244660709,0.9707126764672993,0.9558923564535075,1.0,0.9754391082308964,0.9843596258737418,0.9801291352344775,0.9792399891118929,0.9820307849606206,0.9838482274599497,0.9604557194575992,0.9533603194975884,0.9745744355267171,0.9359490259154981,0.9771878800072938,0.9580794413173406,0.9161556710131332,0.9402699476487894,0.9391428584276836,0.9295133842525366,0.7426543698597777,0.7870624380861448,0.6602667010195843,0.8252794556260505,0.9474460248847631,0.9348375397008306,0.9161770383706495,0.9505024192859874,0.9467032350740381,0.9477190732555673,0.9555271218999533,0.9545884354858258,0.9451359077770469,0.9537643488452683,0.9574914486517139,0.9237700815382522,0.918986865888073,0.9253789603692595,0.9267124792629879,0.9219858206515994
N9,0.9657599421443088,0.9598041661515967,0.9570995552490423,0.9537816175016024,0.9552721912667947,0.9629589221933601,0.9457171001266248,0.9754391082308964,1.0,0.9753492508621258,0.9718707600583102,0.9729902924947312,0.9740216541607748,0.9715145374385117,0.9509726776623417,0.9467362144225201,0.9647945647746774,0.9444368459586138,0.972917452652916,0.9486797848484667,0.909414580968033,0.9423540435713988,0.9413612857963459,0.9383513127711406,0.7443575089724558,0.8115209153970512,0.6818581519430663,0.8337303805880162,0.9405036517049233,0.9317435381232955,0.9017036366480022,0.9456028714956337,0.948672224977791,0.9355921562040281,0.9437591981774286,0.9506643356200553,0.9402305238012133,0.9447620323774053,0.9474513577571969,0.9300961553885031,0.9241150365845431,0.9246040681311756,0.9242461713997159,0.9340353198321636
N10,0.9688238998206827,0.975764764928354,0.9685846161775703,0.9551067931936211,0.9632819517186192,0.9669342289779829,0.9513701578617891,0.9843596258737418,0.9753492508621258,1.0,0.9810522873082114,0.9814349850288788,0.9756036316672392,0.9801313305491467,0.9576557633553616,0.960258655031751,0.9776091999262366,0.9472178628016608,0.9742731972324629,0.9665263090632873,0.9134529626020448,0.9425164339620005,0.9385670394308339,0.933200283870526,0.7470998583212498,0.8008668296119887,0.6769067624257509,0.8315463056306454,0.9532442724930952,0.9409800697686644,0.9156416964228689,0.9512802166386269,0.9444335739351075,0.9445703240512894,0.9534396718785583,0.9554673811453195,0.945137911441793,0.9523746275875578,0.9587925743760023,0.925322656766104,0.9225520183138443,0.9256753875981074,0.9195033442767901,0.9251467704858919
N11,0.9702339569242105,0.9679888595924704,0.9736537474300723,0.9583812185398319,0.9597576963991001,0.9634746317310399,0.9484633318058038,0.9801291352344775,0.9718707600583102,0.9810522873082114,1.0,0.9822567733694282,0.9825611175268922,0.9793340786591916,0.9681285327516073,0.9470910128794524,0.9795706899659141,0.9379786714054734,0.9803819497289523,0.9613705024501297,0.9294138184385548,0.9484939667291458,0.9410493189611518,0.9347859342114193,0.7347154439871161,0.7736215741380376,0.6529101643887615,0.8149507988065892,0.9492130849464812,0.9458924434206863,0.935112592560044,0.9537431496522952,0.9586792449764214,0.9596304805892832,0.9531796156120852,0.9582708164607628,0.9498159376085646,0.9565978452050468,0.9605392107839288,0.9367684920753013,0.9340765046988367,0.9408254323428173,0.9414749951846472,0.9279955307115855
N12,0.9752388192794456,0.9730347879103779,0.979721505293111,0.9554693568055214,0.9591240320171425,0.9608306617205588,0.9424619767259094,0.9792399891118929,0.9729902924947312,0.9814349850288788,0.9822567733694282,1.0,0.9852539398506099,0.9773585105868108,0.9693289418179094,0.9433337366005291,0.9762599347526246,0.9362762192442683,0.9833392994917473,0.9595804743021226,0.9313993849239847,0.947630704223998,0.9439907160121338,0.9335380766063403,0.7467994834674999,0.7747969832455898,0.6735426214247461,0.8245765940961293,0.9587518080070435,0.9546406115980293,0.938667572554724,0.963030762520041,0.9592642105814296,0.9617802378005958,0.9608045495530935,0.967558990578015,0.9572332075135105,0.9627007674793769,0.96437150031539,0.9380127862558625,0.9372994174318838,0.9364019835785515,0.9385243379423696,0.924830962997664
N13,0.9721591122042507,0.9713105824286333,0.9778719670161294,0.958909019094445,0.9630462840277642,0.9613364283161516,0.9450195806117974,0.9820307849606206,0.9740216541607748,0.9756036316672392,0.9825611175268922,0.9852539398506099,1.0,0.9813989234782815,0.971794591612827,0.9406649887512636,0.9756126360836964,0.9304043983770689,0.9863567976729755,0.9557625436614892,0.9288137752143247,0.9469297223645845,0.9452275474648417,0.9335379665374988,0.7318129960957012,0.7635512006667663,0.6539025237250413,0.8117623499758665,0.9512491792076163,0.9460095573708638,0.9314469327306347,0.960431168268927,0.9594782822933559,0.9613415891143882,0.9599912009914943,0.9627374617624529,0.9569455113822581,0.9595550023459964,0.9594718876368596,0.9326404549688104,0.9293678957301222,0.9329301572138339,0.9419472298142406,0.9201208511897869
N14,0.9646783691978398,0.9710226669229591,0.9694956788707146,0.9575457520714724,0.9685521984849351,0.9669965765713194,0.9491445220575184,0.9838482274599497,0.9715145374385117,0.9801313305491467,0.9793340786591916,0.9773585105868108,0.9813989234782815,1.0,0.9602243287580343,0.9457885526946971,0.976783501382544,0.927464095683278,0.9772969488119708,0.9525494438415858,0.9199003224645792,0.9442637843210753,0.9419270910105938,0.9315743865516231,0.7200001870354329,0.7675182000131299,0.638913566160243,0.8051659205015725,0.9397767560710225,0.9317539051420413,0.9187249863061193,0.9512345396014324,0.9436889781936837,0.9511418152207598,0.9513343605148489,0.9533936792136757,0.9452912455581106,0.9475350254901916,0.952760488707046,0.9163076461732442,0.9148614782805408,0.925041973939188,0.9318387622829452,0.9132133006340114
N15,0.972432236412459,0.9716620079523514,0.9748129769505647,0.9145251313644404,0.9268276716895916,0.920961650706295,0.9080481338917724,0.9604557194575992,0.9509726776623417,0.9576557633553616,0.9681285327516073,0.9693289418179094,0.971794591612827,0.9602243287580343,1.0,0.9061317206805198,0.9620577813345638,0.9156287990123354,0.9661014075003995,0.9304533108836026,0.9145377466319351,0.9453419297803792,0.9385899312733782,0.9260511099853062,0.714363179154904,0.7389654976511042,0.6670798819881086,0.7878452728852396,0.9463072687069096,0.9436811311611156,0.936845519052257,0.9487822005147031,0.9570076155666845,0.9568845922897466,0.9544718891108871,0.9449778483715952,0.9553189481921658,0.9609765183050522,0.9429891530921756,0.9315779067722675,0.9183021716418764,0.9347432462529935,0.9354043761906607,0.8938379470187355
N16,0.926231246570125,0.9371812464254701,0.9175810251652156,0.9575387676996743,0.9613307966956316,0.9648766092599509,0.9662993189044728,0.9533603194975884,0.9467362144225201,0.960258655031751,0.9470910128794524,0.9433337366005291,0.9406649887512636,0.9457885526946971,0.9061317206805198,1.0,0.9600758265403075,0.9629428477221811,0.9506485227168116,0.9777862307466852,0.8765218983086756,0.9113484342014667,0.9034345977648196,0.9007808464698567,0.7439477228843446,0.8173366176448383,0.6505610464887859,0.8265271516284354,0.9140495896727137,0.8923277953973929,0.8696770734075853,0.9136767340063892,0.9070253186580642,0.9048324040992162,0.921152387274722,0.9328579603453746,0.8950868892672726,0.91275646946475,0.9359051512013581,0.8863074588867588,0.9077392049840581,0.8788633635715496,0.8648442305254807,0.909870079472413
N17,0.9660568681176183,0.9721700138572034,0.9673995932252559,0.955836136358805,0.9650349140016845,0.9615112264660655,0.954692949005426,0.9745744355267171,0.9647945647746774,0.9776091999262366,0.9795706899659141,0.9762599347526246,0.9756126360836964,0.976783501382544,0.9620577813345638,0.9600758265403075,1.0,0.9423482270934307,0.976216010206869,0.9701737349746297,0.922069809618682,0.9486834777253637,0.9372356710554858,0.9333477502221216,0.7386654346581566,0.781676754962662,0.6601414943765829,0.8215182558280977,0.9479436005080547,0.9371779163996105,0.9262240871040316,0.9552693883358796,0.9457629683305265,0.9559717319080253,0.95358131874307,0.9599961885184765,0.9435820959399008,0.957036253112575,0.9614979443444768,0.9222604410877014,0.9258744423947799,0.9235552157711988,0.920817517027263,0.9163001951633708
N18,0.9343755700436197,0.9366362816110713,0.919704866603285,0.9326269056344488,0.9321534343022125,0.9406310575667568,0.9382191988127667,0.9359490259154981,0.9444368459586138,0.9472178628016608,0.9379786714054734,0.9362762192442683,0.9304043983770689,0.927464095683278,0.9156287990123354,0.9629428477221811,0.9423482270934307,1.0,0.9435292341501567,0.9638056674425363,0.869040994863681,0.9165821837708058,0.9085733147969766,0.9059055868292875,0.7294826090516864,0.811522337138348,0.6736395077474513,0.8093932485821524,0.9077838212585324,0.8948415277869181,0.8727156822270243,0.9042483552312038,0.9163242053426839,0.8990981446398484,0.9097128159890582,0.9239765024910288,0.8974753174756157,0.9121195254651125,0.9203467658313301,0.8997273276138155,0.9189711184495701,0.8996633259787412,0.8735875719219259,0.9038285757983171
N19,0.9691179818281829,0.9678556086660692,0.975694778634295,0.965314350626377,0.9662836700090195,0.9659340391482895,0.9520658521502376,0.9771878800072938,0.972917452652916,0.9742731972324629,0.9803819497289523,0.9833392994917473,0.9863567976729755,0.9772969488119708,0.9661014075003995,0.9506485227168116,0.976216010206869,0.9435292341501567,1.0,0.964799583150587,0.9299587197814775,0.946370014848841,0.9436678126006728,0.9331072703456785,0.7455546380257199,0.7776312398024524,0.663486086294734,0.822015879712554,0.9528978406957969,0.9486802763337111,0.9322956794426311,0.9612216303472829,0.9611838418168376,0.9614429182647058,0.9611822484845591,0.9684972705858019,0.950182011524206,0.9568294538293866,0.9608723019191586,0.9355961643132549,0.9426757933988029,0.9302263440344529,0.9353777569542459,0.9303562275022536
N20,0.9432704441723039,0.9504080115576451,0.9428416601142985,0.9582782413440436,0.9607269718475544,0.9611764400620157,0.9606540304755382,0.9580794413173406,0.9486797848484667,0.9665263090632873,0.9613705024501297,0.9595804743021226,0.9557625436614892,0.9525494438415858,0.9304533108836026,0.9777862307466852,0.9701737349746297,0.9638056674425363,0.964799583150587,1.0,0.896132305859525,0.9212545437726283,0.9126979055324538,0.9074916349719877,0.7446240639954548,0.7979122260132502,0.6557784712867215,0.8213198783240757,0.9314125242827992,0.9169672625256913,0.8991973428035827,0.9307976023924159,0.9262270868190362,0.9299583269985242,0.9340222189329234,0.9476486217291514,0.9163945345770983,0.9311221049621988,0.9480824091119967,0.9046355390492504,0.9283033459829017,0.9000451696816101,0.8882534814455194,0.9137607108985712
SSP_4,0.9136411367711371,0.9090024810895568,0.9257348657909191,0.9003617483875338,0.9021483840979851,0.8993032028091306,0.8856276209031065,0.9161556710131332,0.909414580968033,0.9134529626020448,0.9294138184385548,0.9313993849239847,0.9288137752143247,0.9199003224645792,0.9145377466319351,0.8765218983086756,0.922069809618682,0.869040994863681,0.9299587197814775,0.896132305859525,1.0,0.9434851755285266,0.9447608524526034,0.9374427548703359,0.7917677303393951,0.7356223172443546,0.6942954705624675,0.832509702178453,0.9138182656019999,0.9308420767936723,0.9249169943526393,0.93572105311566,0.9301889819198695,0.947691258378859,0.9129057018652784,0.9345198936373911,0.9229966120792806,0.9247929063374343,0.9354723099602803,0.9438182951460254,0.9356976036367447,0.9163530339234955,0.945902974672357,0.9230357044409089
