,GSM2674196,GSM2674188,GSM2674189,GSM2674190,GSM2674191,GSM2674192,GSM2674193,GSM2674194,GSM2674195,GSM2674177,GSM2674178,GSM2674179,GSM2674180,GSM2674181,GSM2674182,GSM2674183,GSM2674184,GSM2674185,GSM2674186,GSM2674187,SSP_4,SSP_3,SSP_7,SSP_8,CA.1,CA.2,CA.3,CA.4,CL.1,CL.2,CL.3,CL.4,CL.5,CL.6,CL.7,CL.8,CL.9,CL.10,HP.1,HP.2,HP.3,HP.4,HP.5,HP.6,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10
GSM2674196,1.0,0.9778776774993083,0.9795913531544891,0.9252380620454242,0.9328380493970804,0.9342731799770735,0.9157658117041982,0.9624291238476745,0.9657341458671085,0.9689138225786887,0.9703222044956914,0.9752352844120817,0.9721165645987947,0.9647467072759958,0.9723990111011336,0.9262135890165158,0.9660531082360707,0.9344017504460055,0.9691763033819333,0.9432828334472584,0.9134819430398678,0.9490582663143061,0.9441343730483533,0.9350513478317579,0.7153418110394407,0.762497298195424,0.677590054636961,0.7949795229099094,0.9548976560947843,0.9493771513192026,0.9332915791289429,0.9558773116709413,0.9534021739402031,0.9509799352905168,0.9520881974859547,0.9511659350418735,0.9580946154560505,0.9550821284869987,0.9444703976752151,0.9328640837165874,0.9201050880987952,0.9324412085805462,0.9294317759874359,0.9034122483063988,0.9487693242066256,0.9544524396290083,0.9471974728691147,0.9499007612825342,0.9448013996177704,0.9523313922740893,0.9356022189515321,0.9570339672401698,0.9470071751631889,0.9453382014049628
GSM2674188,0.9778776774993083,1.0,0.9778940940701226,0.9285107700261163,0.9450078684288378,0.9404067118336766,0.9265296048311134,0.969624247280271,0.9597672188042771,0.9757936012723943,0.9680367179610655,0.9730894662936718,0.9713101808197928,0.9710369742516557,0.9717030359430271,0.9371553076450676,0.9722148744704,0.936619262099762,0.9679392610488529,0.9504850862233958,0.9088696916282076,0.9469439400916645,0.9415958654180445,0.9318253741905391,0.7245739740372079,0.7676725213590365,0.6842947122557055,0.8030061307106883,0.9538181437632677,0.9433330246369254,0.9269417893366243,0.9535463931480852,0.9456079259882814,0.9505115775270443,0.9584082297544362,0.9502076119980724,0.9557019046620155,0.9592827625842257,0.9474183487620444,0.9225340302059054,0.9135050384304312,0.9265674561071955,0.9195826544436315,0.898296145672929,0.9540566137389027,0.9589968573543265,0.9529036898387186,0.9549435564252234,0.9495883571014786,0.9577633520129037,0.947351743188143,0.9635878692957938,0.950048335349913,0.9559428358596395
GSM2674189,0.9795913531544891,0.9778940940701226,1.0,0.9330372556378436,0.9401797875958927,0.9367645344771329,0.9153644558984818,0.9647728699190263,0.9571309764888135,0.968582861557202,0.9737391179518816,0.979976725696628,0.9780307446914358,0.9694954705991915,0.9750114019718835,0.917619292823351,0.967593399684015,0.9195391955123994,0.9758711615891656,0.9429980171230719,0.9258317212636771,0.9454749779699614,0.9421512840109635,0.9295818392661297,0.7162102165314188,0.7408144651048476,0.6676308417968985,0.7907993706384852,0.958911497004824,0.957342613662308,0.9428092054024433,0.9623753426141806,0.9554937393466039,0.9642238541674559,0.9573019649168495,0.9580425371651637,0.9617789687846751,0.9595089591326591,0.950279509879243,0.932697560908516,0.9259391867757275,0.9354456782337787,0.939300762255624,0.9037450290371687,0.9494463771887758,0.957319214337148,0.9498866968311054,0.9537827860661385,0.9471064952788498,0.9515263062578257,0.9328435964188132,0.9571091438536246,0.942564186051481,0.947786992897268
GSM2674190,0.9252380620454242,0.9285107700261163,0.9330372556378436,1.0,0.9813659707111174,0.9848916311642244,0.9791542991249647,0.9619802202561358,0.953863348402412,0.9552957733217735,0.9585032053071433,0.9555449738440639,0.958947142932931,0.9577314503763701,0.9145249085282134,0.9575584832426715,0.9558417284634412,0.9325830435550319,0.9653232956998531,0.95827523180921,0.9003586399869532,0.9110501961306087,0.9083780228144533,0.9014508999187599,0.7284040823147463,0.7753337468716207,0.6160000019169458,0.8090357054501893,0.9128054174486254,0.9074540661851277,0.890240412623271,0.9200196661551059,0.9193947295964696,0.9253449359771968,0.9169551771272915,0.9383633449856381,0.903723447781357,0.917043301529046,0.940207239227734,0.8969386151160093,0.9190771759370856,0.9023303298922524,0.904939319725811,0.9193392459946217,0.8858751070774465,0.8964106918699631,0.8849055452286557,0.9261732786498079,0.9299226271638964,0.9076384110213302,0.9241777770392272,0.9282936894063043,0.8832481795699793,0.9322443059734172
GSM2674191,0.9328380493970804,0.9450078684288378,0.9401797875958927,0.9813659707111174,1.0,0.9832024049943844,0.9801882875325082,0.9704230491599666,0.955358097285238,0.9634952503736735,0.9599115135264666,0.9592547077324343,0.9631171038263217,0.9687888824562255,0.9268751958330852,0.9613433522050016,0.9650764604219488,0.9320937414709921,0.9663638695944211,0.9607459680375722,0.9022316532329236,0.9172890489006591,0.913915576358504,0.9050170452397929,0.7292981436215322,0.7751775159524735,0.6236224519314306,0.8124377840279035,0.91975720301015,0.9079933004816445,0.8956869497486997,0.9292823875667902,0.9214901015788389,0.9325649565034863,0.9306391144120585,0.9425071797286902,0.9145246211420506,0.9271973279035101,0.947702012007713,0.8937455131410843,0.9126497249637184,0.9015236269775068,0.9041006499305233,0.9097409865473916,0.9065118159608089,0.9125612026596511,0.9015082720298524,0.9407724923775708,0.9406683100648325,0.9222204149136197,0.939555904527002,0.944359129049281,0.9017258395667584,0.9466095875136873
GSM2674192,0.9342731799770735,0.9404067118336766,0.9367645344771329,0.9848916311642244,0.9832024049943844,1.0,0.9805143980683717,0.9706621571254842,0.9630188125792964,0.9668710705737078,0.9635170820536142,0.9611151256601479,0.9614835285206433,0.9669184785398975,0.9211234075912202,0.9649556207992699,0.9616769982360882,0.9405162311791806,0.9661330608036979,0.9613408336405088,0.8994742620317767,0.9174022894019548,0.9138533420503342,0.9092291374736361,0.7333352096039888,0.793487082834519,0.6295511162822632,0.8195966907853617,0.918103947839952,0.908719215792699,0.8889398614599756,0.9236422509612382,0.9211367989736208,0.9252874713892382,0.9241505005988124,0.9405880958861805,0.9105869350749004,0.9224335692090874,0.9432686466025757,0.8983311579787915,0.9156424931405035,0.9038930625458305,0.903166432620731,0.9219951976216509,0.898661450464538,0.9071906763334048,0.8930957156004523,0.934521137688248,0.934472071267516,0.9189842566860168,0.9338730517647608,0.9383084247152235,0.8980395731188229,0.939829816261613
GSM2674193,0.9157658117041982,0.9265296048311134,0.9153644558984818,0.9791542991249647,0.9801882875325082,0.9805143980683717,1.0,0.9558864233368364,0.9457038667337692,0.9514166094901422,0.9485076718852273,0.9425203671352183,0.9450396838114231,0.9492131682622573,0.9080665846765151,0.9662937276417669,0.9546977988771795,0.9381334925364646,0.9521110150759678,0.9606703089353994,0.8856218743583832,0.9047690315223578,0.8952679273718435,0.8943404814138831,0.7345576122274081,0.7893820339206036,0.6255273194490817,0.8162029957645455,0.9036330117782038,0.8903535987140676,0.8756593844094064,0.9082834272849037,0.9088554265636011,0.9144687454245962,0.9117988111109719,0.9286171372456212,0.8925259824301456,0.9142357079623795,0.9381038351922181,0.8852918549797707,0.9087636046222212,0.8879708896453959,0.8827283407445623,0.9092706236184318,0.88262962354516,0.8895450385040566,0.8829925113433268,0.9222333542869001,0.9305937614278289,0.9088496713695292,0.9287020409919772,0.9250545351336421,0.8819527609114103,0.9361462593891705
GSM2674194,0.9624291238476745,0.969624247280271,0.9647728699190263,0.9619802202561358,0.9704230491599666,0.9706621571254842,0.9558864233368364,1.0,0.9754742312056834,0.9843451196208146,0.9801828301053317,0.9794607930856469,0.9821668837281189,0.9838216369263683,0.9606494878694659,0.9533243030076191,0.9746809995994572,0.9357943928699517,0.977370005096723,0.9581842480898957,0.9162869647248323,0.9402984203410949,0.939122039359122,0.9293923642553438,0.7422472892241133,0.7866618631893441,0.6593540592641675,0.824858838652783,0.9475712139605775,0.9347093554929339,0.9163363906888616,0.9507227418471285,0.9466980709617893,0.9479316890390718,0.9555899457781062,0.9547300355076823,0.9452047752600414,0.9540010729215492,0.9577279763537943,0.9237009534018565,0.9190593845376371,0.9254099313614407,0.9268740068140418,0.9219574801300201,0.9373825769980351,0.941267624457695,0.9305153690069983,0.9566576633943192,0.9506301367457388,0.9445938620937236,0.9480338549939051,0.9632936630358203,0.9339282524364304,0.9570335149384012
GSM2674195,0.9657341458671085,0.9597672188042771,0.9571309764888135,0.953863348402412,0.955358097285238,0.9630188125792964,0.9457038667337692,0.9754742312056834,1.0,0.9753877685880359,0.9719639284721073,0.9730540562953198,0.9740627833669351,0.9715574505313536,0.9509994736457741,0.9467132590391681,0.9648336129797509,0.9443840400907029,0.9730286650014549,0.9487559404165162,0.9093655746715058,0.9423309085293028,0.941300669537439,0.9382618909116248,0.7439895354712776,0.8112438662229041,0.6809635948526576,0.833315907928329,0.9405551253268442,0.9316314508702124,0.9017585044853034,0.9456858199848653,0.9486093817669942,0.9357183173678844,0.943765500288539,0.9506936895339387,0.9401895399407217,0.9448245891085699,0.9475702719035783,0.9299848430352226,0.9241432872817712,0.924497585355066,0.9242685038630197,0.9339511998960335,0.9262175298407557,0.9355294440088956,0.9232252125798008,0.9496151172440132,0.9412079298178263,0.9403213046825312,0.9373933936550756,0.9560910523894504,0.9329771089888547,0.9456082793031392
GSM2674177,0.9689138225786887,0.9757936012723943,0.968582861557202,0.9552957733217735,0.9634952503736735,0.9668710705737078,0.9514166094901422,0.9843451196208146,0.9753877685880359,1.0,0.9811245206093869,0.9817124454336846,0.9757709668194854,0.9800807670522703,0.9578815454543397,0.9603163406657075,0.9778112764258378,0.9471480803719046,0.9745163624404072,0.9667618753279256,0.9135889447650839,0.9426089912146377,0.9385685324554024,0.9330913178634109,0.7467763516594338,0.8005801489731518,0.6760629937473663,0.831191621243736,0.9534475394033984,0.9408569703868944,0.9158382078660523,0.9515471712375709,0.9444399070397512,0.9448477775778611,0.9535204537460208,0.955638711748413,0.945262129271112,0.9526468367563591,0.9591043483212582,0.9252609812837912,0.9227105302286637,0.925691949371436,0.9197062659096337,0.9252028409543178,0.9454414695451164,0.9511645773966648,0.9383423131411391,0.9597059664361016,0.9542467600904352,0.9539922299620202,0.9534382009184974,0.9672468708822487,0.9414224102794835,0.9608990502983269
GSM2674178,0.9703222044956914,0.9680367179610655,0.9737391179518816,0.9585032053071433,0.9599115135264666,0.9635170820536142,0.9485076718852273,0.9801828301053317,0.9719639284721073,0.9811245206093869,1.0,0.9824408967190456,0.9826689038218395,0.9794040521341358,0.9683176148629904,0.9471195688396632,0.9796796013023059,0.9379101777732509,0.980495809423143,0.9614720410474145,0.9294915324975748,0.9485796060768752,0.9410837447500916,0.934781217648924,0.7342501381875329,0.773393523915202,0.6518947353882005,0.8145014009850211,0.9493392368973453,0.9458481027275166,0.9352313411642721,0.9539007463110442,0.9587460479951866,0.9597340941352359,0.9531309785727345,0.9583450202758349,0.9499115140704613,0.9567586312469684,0.9607187602369904,0.9367286159554069,0.9341626050877642,0.9407903637307463,0.9416496580427359,0.9280094947609984,0.9341267782367411,0.9419408453648218,0.9345850586225012,0.9522435537400393,0.9537078364152528,0.9491978383884894,0.9408605239380291,0.9576295495719496,0.9314797755079294,0.9546360748206655
GSM2674179,0.9752352844120817,0.9730894662936718,0.979976725696628,0.9555449738440639,0.9592547077324343,0.9611151256601479,0.9425203671352183,0.9794607930856469,0.9730540562953198,0.9817124454336846,0.9824408967190456,1.0,0.9852273886031785,0.9776149285087344,0.969262487133349,0.9433397099943273,0.9762253939711972,0.9363907822981644,0.983372133411314,0.9595731621081023,0.9312039093629871,0.9475394586481992,0.9438816237290828,0.9335475396615628,0.7461124986566456,0.7745392947783751,0.6723411077593666,0.8240545999693342,0.9587606267456524,0.9546609064770918,0.9385876716273205,0.9629264488685899,0.9592990363426643,0.9617339392430889,0.9607167136424414,0.9674556274079865,0.9571766228888655,0.9626084689586587,0.9643270397973509,0.9378542078948222,0.9372356089500913,0.9362522752319224,0.9384809275706595,0.9246651282688889,0.9422674038900325,0.9486380428093923,0.9404627600590277,0.9602761360002565,0.9570313689428165,0.9503661631710693,0.9464402081433675,0.9643501031953801,0.9385734652028093,0.9572390279103905
GSM2674180,0.9721165645987947,0.9713101808197928,0.9780307446914358,0.958947142932931,0.9631171038263217,0.9614835285206433,0.9450396838114231,0.9821668837281189,0.9740627833669351,0.9757709668194854,0.9826689038218395,0.9852273886031785,1.0,0.9815914141926222,0.9717602007762906,0.9406015013267434,0.9755597100943167,0.9303660894404808,0.9863828063031822,0.9556945802324845,0.9286335152807268,0.9468520096881946,0.9451425869473514,0.9335141168667179,0.7311375288654537,0.7632253247818258,0.6526183932046639,0.8111504545662049,0.95124390609331,0.9459812826558187,0.9313608752214328,0.960379370226336,0.9595131204204671,0.9613192986893904,0.9599068700536325,0.9626891949902496,0.9569425535984001,0.9594980442396546,0.9594356713376622,0.9324898927639326,0.9292565095987844,0.9327567006651006,0.9419195469839717,0.9199248162755225,0.9356611273889529,0.943202367326019,0.9357158320824741,0.9573164178727149,0.9530303715609744,0.9433836218512762,0.9416996775472345,0.9618186870023735,0.9361849577606358,0.9532094514055907
GSM2674181,0.9647467072759958,0.9710369742516557,0.9694954705991915,0.9577314503763701,0.9687888824562255,0.9669184785398975,0.9492131682622573,0.9838216369263683,0.9715574505313536,0.9800807670522703,0.9794040521341358,0.9776149285087344,0.9815914141926222,1.0,0.9604505447968374,0.9458419941909786,0.9769822130708705,0.9273345877523463,0.9775490166383278,0.9527220351417439,0.9200239899068996,0.9443501610240115,0.9419661491954935,0.9314652478825713,0.7196252178125029,0.7672169363746523,0.6379107267461434,0.8046844543560561,0.9399432929466606,0.9316481114545012,0.9188803282926223,0.9515154956801398,0.9437163440468623,0.9514345830769683,0.9514326415707711,0.9535981823742226,0.9454664057211631,0.9477799477480938,0.953026326090116,0.9162421393523771,0.9149781152646875,0.9250154940930915,0.9320501982460031,0.9132211248986752,0.9367248287549652,0.9449095494299181,0.9321933644169164,0.955614410795894,0.9482008629245292,0.946178765567983,0.9433661872453353,0.963540423511712,0.9333987356761587,0.9531774176797572
GSM2674182,0.9723990111011336,0.9717030359430271,0.9750114019718835,0.9145249085282134,0.9268751958330852,0.9211234075912202,0.9080665846765151,0.9606494878694659,0.9509994736457741,0.9578815454543397,0.9683176148629904,0.969262487133349,0.9717602007762906,0.9604505447968374,1.0,0.9060961947647075,0.9620024399766933,0.9156702579833407,0.9661105227480383,0.9303974169617669,0.9143234824340578,0.9452682946311172,0.9384982191709664,0.9260629146605408,0.7136628307188718,0.738641864707543,0.6658388718850695,0.7872306910824706,0.946269460040333,0.9437247224630888,0.9367805077851464,0.9486809895177339,0.957046947545562,0.956870317680822,0.9544232966169289,0.9448639464191194,0.9553386351013665,0.9609172230903059,0.9428879690393737,0.9314708863265322,0.9181499321273263,0.9346302558791777,0.9353205375533542,0.8936017070587488,0.9393116239805044,0.9424734601884583,0.942591008207849,0.9403688509775036,0.93820037108498,0.9427684810598523,0.9246484917204132,0.9468766136200618,0.9364651286573182,0.9410386249126974
GSM2674183,0.9262135890165158,0.9371553076450676,0.917619292823351,0.9575584832426715,0.9613433522050016,0.9649556207992699,0.9662937276417669,0.9533243030076191,0.9467132590391681,0.9603163406657075,0.9471195688396632,0.9433397099943273,0.9406015013267434,0.9458419941909786,0.9060961947647075,1.0,0.960070315101506,0.9629832580016358,0.9506988243301567,0.977830551088402,0.8763835544874119,0.9113273257929152,0.9033253137905892,0.9006773285696166,0.7435618530732164,0.817078567749835,0.6495729243513382,0.8260990303841592,0.9141062867758514,0.8921726809734339,0.8696824739697087,0.9136975915768883,0.9070040332637576,0.9049001758773566,0.9211343141630738,0.9329037084690414,0.8950011231867568,0.9127461724546039,0.9359571485985332,0.8861359619266763,0.907769602923397,0.8786933242555297,0.8647449215150209,0.9095848186635861,0.8950911866762188,0.901122309343069,0.893880872123187,0.9326021096973922,0.9380548879180003,0.9219942256151341,0.9490199991187143,0.9354051248806262,0.8989038694420006,0.9429985128140937
GSM2674184,0.9660531082360707,0.9722148744704,0.967593399684015,0.9558417284634412,0.9650764604219488,0.9616769982360882,0.9546977988771795,0.9746809995994572,0.9648336129797509,0.9778112764258378,0.9796796013023059,0.9762253939711972,0.9755597100943167,0.9769822130708705,0.9620024399766933,0.960070315101506,1.0,0.9423895794301635,0.9762199919925931,0.9701413415504392,0.9218577543541054,0.9486394792984735,0.9371362894252486,0.9333495247810295,0.7380353596530359,0.781400630825229,0.6589577038186609,0.8209204850769225,0.9479465534695055,0.9371752394356095,0.9261480148843465,0.9552034780962934,0.9457884537131761,0.9559293751692842,0.9535090122075335,0.9599272870164222,0.9435834985437977,0.956979619787411,0.9614472914816001,0.9220960952607921,0.9257588699287882,0.9233801907764413,0.9207232716761832,0.9160374350339305,0.9378155395060046,0.9454607417394959,0.9423795938059791,0.9593101704458188,0.9634865938090317,0.9557024452828357,0.955160806112934,0.965257732914708,0.9348620983423863,0.9670845648768175
GSM2674185,0.9344017504460055,0.936619262099762,0.9195391955123994,0.9325830435550319,0.9320937414709921,0.9405162311791806,0.9381334925364646,0.9357943928699517,0.9443840400907029,0.9471480803719046,0.9379101777732509,0.9363907822981644,0.9303660894404808,0.9273345877523463,0.9156702579833407,0.9629832580016358,0.9423895794301635,1.0,0.9435664936560104,0.9639191189458183,0.8690877952641309,0.9166989398542812,0.9085164289832881,0.9058503183462328,0.7292722165162185,0.8112943085103435,0.6730999172816784,0.8091106718372454,0.9077899539354051,0.8945937097156135,0.8727932178686298,0.9043392130677111,0.9162182662075153,0.8991367923848594,0.9097032191730279,0.923988989232935,0.8974369678404889,0.9123032633827168,0.9204329413884796,0.8995951307260284,0.9189805522111787,0.8996579721358797,0.8735265070667799,0.903705872538577,0.8900271872473939,0.897734865511038,0.8870119288215355,0.9148759590942467,0.9194526292144248,0.916350923338936,0.9303239663273108,0.92072233792377,0.8966565785642587,0.9265542264985724
GSM2674186,0.9691763033819333,0.9679392610488529,0.9758711615891656,0.9653232956998531,0.9663638695944211,0.9661330608036979,0.9521110150759678,0.977370005096723,0.9730286650014549,0.9745163624404072,0.980495809423143,0.983372133411314,0.9863828063031822,0.9775490166383278,0.9661105227480383,0.9506988243301567,0.9762199919925931,0.9435664936560104,1.0,0.9647967416448199,0.9298495502910281,0.9463685498362516,0.9436690036769108,0.9331678942744747,0.7450451160399235,0.777470346032639,0.662344318053469,0.8215412869014438,0.9529532606470967,0.9486943018409172,0.9322508412132791,0.961225326760261,0.9612578341677546,0.9614163277387293,0.9611391936480463,0.968541475111612,0.9501627552956828,0.956847381733893,0.9608953500972585,0.9354823614179325,0.942589960548983,0.9301011381443698,0.9353471624150659,0.9301927686440594,0.932091101926792,0.9410224604722071,0.9334399296916802,0.9593997127286392,0.9567283924712666,0.9458338116006453,0.9478510577427085,0.9580447225799238,0.9315715616523471,0.9553946142617162
GSM2674187,0.9432828334472584,0.9504850862233958,0.9429980171230719,0.95827523180921,0.9607459680375722,0.9613408336405088,0.9606703089353994,0.9581842480898957,0.9487559404165162,0.9667618753279256,0.9614720410474145,0.9595731621081023,0.9556945802324845,0.9527220351417439,0.9303974169617669,0.977830551088402,0.9701413415504392,0.9639191189458183,0.9647967416448199,1.0,0.8959712494547493,0.9212126012360342,0.9125928970790941,0.9074911409824163,0.744053980974867,0.7976485776055363,0.6547172731788997,0.8208539317435053,0.9314393479604206,0.9169156102087697,0.899140456402449,0.9307407369576304,0.9262756177254431,0.9298909290946321,0.9339642409728844,0.9476188422522935,0.9163517463708976,0.9311112138332696,0.9480519168666528,0.9044811850016063,0.9282434535353141,0.8999415692706384,0.8881471137228838,0.9135298649572295,0.9088766916653687,0.9168535325944445,0.9098107781944961,0.9414238301152191,0.9484435684599047,0.9319087375355769,0.9501518951003041,0.9416242337127418,0.9103569838541611,0.9508733399820227
SSP_4,0.9134819430398678,0.9088696916282076,0.9258317212636771,0.9003586399869532,0.9022316532329236,0.8994742620317767,0.8856218743583832,0.9162869647248323,0.9093655746715058,0.9135889447650839,0.9294915324975748,0.9312039093629871,0.9286335152807268,0.9200239899068996,0.9143234824340578,0.8763835544874119,0.9218577543541054,0.8690877952641309,0.9298495502910281,0.8959712494547493,1.0,0.9433159126840296,0.9446342137680167,0.937425721978368,0.7911003693982722,0.7352106488216308,0.6929977855167814,0.8320585401816851,0.9137266790520486,0.9307636197530001,0.924745617752298,0.9355235896843497,0.9301416364299449,0.9475865870358622,0.9126618103616195,0.9343314507393468,0.9227941203816641,0.9245693331242182,0.9353101041109942,0.9437188092665375,0.9356617955381764,0.9161650861785634,0.945905151257924,0.9229842727242044,0.9060144543533329,0.9215378062131124,0.9192044527072255,0.9276723261442813,0.9273514220316902,0.9270266241118472,0.8962905318042702,0.9182167714940981,0.9024790562209425,0.9156033054555409
SSP_3,0.9490582663143061,0.9469439400916645,0.9454749779699614,0.9110501961306087,0.9172890489006591,0.9174022894019548,0.9047690315223578,0.9402984203410949,0.9423309085293028,0.9426089912146377,0.9485796060768752,0.9475394586481992,0.9468520096881946,0.9443501610240115,0.9452682946311172,0.9113273257929152,0.9486394792984735,0.9166989398542812,0.9463685498362516,0.9212126012360342,0.9433159126840296,1.0,0.9818756644466289,0.9803056825410057,0.766169545005774,0.799076899766752,0.710137005040946,0.8329629424594865,0.919667186322331,0.9250614936478729,0.909242363658826,0.9336647514114794,0.9398297144255225,0.940373794006253,0.9298818633027401,0.9379897488710441,0.9368961275669039,0.938180449686214,0.935372801101665,0.9443023918083296,0.9334465883959991,0.9232833868896082,0.937806468943393,0.9289565290894688,0.9183751081779699,0.934380292869996,0.9320688739623868,0.9339590283929541,0.9339307900838018,0.94794822727428,0.9228906538283278,0.9414206308949288,0.9360666841998225,0.9332524647717079
SSP_7,0.9441343730483533,0.9415958654180445,0.9421512840109635,0.9083780228144533,0.913915576358504,0.9138533420503342,0.8952679273718435,0.939122039359122,0.941300669537439,0.9385685324554024,0.9410837447500916,0.9438816237290828,0.9451425869473514,0.9419661491954935,0.9384982191709664,0.9033253137905892,0.9371362894252486,0.9085164289832881,0.9436690036769108,0.9125928970790941,0.9446342137680167,0.9818756644466289,1.0,0.9792036518772212,0.7711531390351233,0.7948392176523175,0.7142327188381767,0.8331226880958897,0.9198640014662667,0.9258989254800676,0.9011009971249233,0.9340423518549967,0.9370401951222227,0.9341568457800509,0.9282421594941787,0.9348407529224616,0.9373564107107049,0.9316543450899096,0.92904125745114,0.9422324344985601,0.930084282706001,0.9176822607511409,0.9398536006677767,0.9339039004195422,0.9195981540037247,0.9349827022561767,0.9271596927951395,0.9325162908894633,0.9247253044974438,0.9403867210441309,0.9165099372386073,0.9399156362567,0.9366852982297457,0.9233440566833435
SSP_8,0.9350513478317579,0.9318253741905391,0.9295818392661297,0.9014508999187599,0.9050170452397929,0.9092291374736361,0.8943404814138831,0.9293923642553438,0.9382618909116248,0.9330913178634109,0.934781217648924,0.9335475396615628,0.9335141168667179,0.9314652478825713,0.9260629146605408,0.9006773285696166,0.9333495247810295,0.9058503183462328,0.9331678942744747,0.9074911409824163,0.937425721978368,0.9803056825410057,0.9792036518772212,1.0,0.7777959738865263,0.8274477755890939,0.7269139204567605,0.8459479086018261,0.9077606717386847,0.9132922485152405,0.8767828168693279,0.9195312104651976,0.9255063288039433,0.9192544504618808,0.9098473748983132,0.9215832855717173,0.9210480330039439,0.9203320989936092,0.9185778894270629,0.936870086544094,0.922289128068874,0.9054124907533545,0.9292123155902121,0.9430245377357249,0.9068492790259,0.9267089600798767,0.9218955100832751,0.9246168201772335,0.919657529270418,0.9366184793152256,0.9062042895921028,0.9319068902124409,0.9327009877484538,0.9178600250090801
CA.1,0.7153418110394407,0.7245739740372079,0.7162102165314188,0.7284040823147463,0.7292981436215322,0.7333352096039888,0.7345576122274081,0.7422472892241133,0.7439895354712776,0.7467763516594338,0.7342501381875329,0.7461124986566456,0.7311375288654537,0.7196252178125029,0.7136628307188718,0.7435618530732164,0.7380353596530359,0.7292722165162185,0.7450451160399235,0.744053980974867,0.7911003693982722,0.766169545005774,0.7711531390351233,0.7777959738865263,1.0,0.8179200365219137,0.840336696024592,0.9099866484215244,0.7870047633839665,0.783638437153433,0.7229552831780035,0.7739375924581215,0.7733796819482711,0.7581282480212045,0.7748571622892684,0.7894334873300435,0.7551730964662513,0.7719105784387822,0.7845295003445346,0.8095821890318813,0.7887201989653502,0.7072076819853907,0.7287048151179573,0.8141146433549923,0.7581170762437214,0.769233286339241,0.7695824854795401,0.7896613075575651,0.7848798829380377,0.7790415096576628,0.7672042583749651,0.7719439195681833,0.7743577253414489,0.7721802831661888
CA.2,0.762497298195424,0.7676725213590365,0.7408144651048476,0.7753337468716207,0.7751775159524735,0.793487082834519,0.7893820339206036,0.7866618631893441,0.8112438662229041,0.8005801489731518,0.773393523915202,0.7745392947783751,0.7632253247818258,0.7672169363746523,0.738641864707543,0.817078567749835,0.781400630825229,0.8112943085103435,0.777470346032639,0.7976485776055363,0.7352106488216308,0.799076899766752,0.7948392176523175,0.8274477755890939,0.8179200365219137,1.0,0.8004656601611605,0.8927446536156133,0.7714741884558832,0.751897884835087,0.6670745049232751,0.7525642742097416,0.7724223243512471,0.7267944050124713,0.7658964074474217,0.7840166634778186,0.742607878810922,0.7602404450175617,0.778539787027146,0.7798722959878425,0.7954344740235741,0.7108563152354523,0.7127945956310358,0.8521817917839125,0.7437507852269074,0.7618845332941588,0.7520158489065074,0.7917476123897126,0.7898314967354559,0.7859209779509007,0.8033809326854077,0.7901237895669051,0.7951300787985351,0.7893463421129718
