,AD1,AD6,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,GSM3304957,GSM3304968,GSM3304969,GSM3304972,GSM3304976,GSM3304978,GSM3304979,GSM3305004,GSM3305008,GSM3305010,GSM3305020,GSM3305021,GSM3305025,GSM3305050,GSM3305061,GSM3305068,GSM3305084,GSM3305088
AD1,1.0,0.9677155327576559,0.9623384449920946,0.9390409331320009,0.9395082935816327,0.904587733007755,0.9731267257751859,0.9721121300015391,0.9400343442366002,0.9532827841502954,0.9131912094249167,0.9310653960069917,0.9266207526732483,0.9299284839887856,0.9341891276041657,0.9456922616003454,0.9135213694672578,0.8931606730652708,0.9477681162303311,0.948194859608172,0.9338129880371135,0.9354774944470666,0.9204166570966353,0.8748415299985083,0.9459916472841691,0.9328039837880685,0.8684053891682715,0.9502281154440048,0.9187620762000585
AD6,0.9677155327576559,1.0,0.9570103568711288,0.9324542965887845,0.9290811659039092,0.9194595385416866,0.9621910966110149,0.9522970559386879,0.936579131803934,0.9456623212006854,0.9079856779208492,0.9199685003679323,0.9280966542206903,0.92953154849969,0.9307010710190737,0.9455782138567465,0.913305976484456,0.9032519647945155,0.9473532820979664,0.942226263321754,0.9333658280395637,0.9356654679114335,0.9216469031050248,0.8832020844441202,0.9391140651984909,0.9331645468925976,0.8791931298315595,0.9480247146604006,0.9096672767726595
AD10,0.9623384449920946,0.9570103568711288,1.0,0.9364611819949831,0.9351347721811325,0.9124422755928764,0.9657716196000152,0.948467093453076,0.9569258742882599,0.9560897949706484,0.897828411510086,0.905000623449027,0.9114475138510675,0.908902535495516,0.9182219021889544,0.9369744242224839,0.89564902860979,0.8764946925857178,0.9346818780774125,0.9381266698653761,0.9112235224518084,0.92970321500574,0.9036623574336019,0.8530801861516807,0.9240612724334691,0.9140561081916622,0.8525130879731113,0.9429973504506112,0.8833947099575011
AD11,0.9390409331320009,0.9324542965887845,0.9364611819949831,1.0,0.9296694387138189,0.914158413465083,0.9445195472383097,0.941776346271322,0.9452897222536664,0.9335530793216427,0.891278198901762,0.9198767317164652,0.8910230523700396,0.8902599585123829,0.916236733856761,0.9361616524446765,0.8700885705513918,0.892437066828676,0.9161198307753115,0.9283982076758901,0.9173723592912889,0.9166537366939865,0.874644721199239,0.8456165000213557,0.9253486925909851,0.9118293417890252,0.8565586418564672,0.936789632442258,0.8855791043314102
AD12,0.9395082935816327,0.9290811659039092,0.9351347721811325,0.9296694387138189,1.0,0.8952875721383319,0.9501186030418542,0.9543957280014962,0.9337059655629297,0.9285374738466312,0.8157287347268123,0.9093862653535986,0.8726570604131788,0.8781105834032003,0.9091201237765137,0.9365970179330156,0.8415501345718491,0.8570588952962538,0.899242800631088,0.9201729258157181,0.929031165574578,0.902675277222995,0.8436700712209871,0.8176177813866561,0.9206942443176924,0.9073973498596208,0.8248825142010898,0.9303610836879228,0.8986969130175331
AD13,0.904587733007755,0.9194595385416866,0.9124422755928764,0.914158413465083,0.8952875721383319,1.0,0.9234270770029843,0.9067182859490299,0.9221213447453029,0.9242563123613867,0.8736096832174173,0.900716843544377,0.8993014200672927,0.8806488480261648,0.9214480471241439,0.9284977359198537,0.8800209137858124,0.9222012736574746,0.9153474932874778,0.9189878564637175,0.8854898566600076,0.9346569782541275,0.8900497702949521,0.8710625711681764,0.9163059121922601,0.9303946567382361,0.8424152386942709,0.9131816387236262,0.8676562078144966
AD14,0.9731267257751859,0.9621910966110149,0.9657716196000152,0.9445195472383097,0.9501186030418542,0.9234270770029843,1.0,0.9754463004019048,0.9611820493283201,0.9652277063507656,0.906444559324635,0.936505282590483,0.9264265603824863,0.9285634474465129,0.9453431822644064,0.9533685550245706,0.9063578339566488,0.9044964591197113,0.9476548451515866,0.951719151229268,0.9444814667138152,0.9478484344880356,0.913948336848507,0.8803582240088186,0.9484921571084365,0.9379284552489626,0.8748718040585863,0.9611275940031274,0.9209355954319834
AD15,0.9721121300015391,0.9522970559386879,0.948467093453076,0.941776346271322,0.9543957280014962,0.9067182859490299,0.9754463004019048,1.0,0.942194675222562,0.9524246390857602,0.8981680951017524,0.9398076394276194,0.9210548901729045,0.9246841227123672,0.9350052682682563,0.9466075881940281,0.9039583656266089,0.8968223552939335,0.9411099740696497,0.9423245840921317,0.9391035621435527,0.9359552188569086,0.9108668437642774,0.8767274695706299,0.9496996220734377,0.936501947051572,0.8705494112960003,0.9499191357492257,0.9332053758434764
AD16,0.9400343442366002,0.936579131803934,0.9569258742882599,0.9452897222536664,0.9337059655629297,0.9221213447453029,0.9611820493283201,0.942194675222562,1.0,0.9527981843447705,0.9010592104875542,0.911033038649104,0.8952547677578501,0.891400710502728,0.9211416266438689,0.9391721003720432,0.8691948060127016,0.8856633199815516,0.9188679662638173,0.9246161656605383,0.9167484841833449,0.9228925523760672,0.8761939834071281,0.8433315851585479,0.9275048077948049,0.9096258207725773,0.8508526858487759,0.9424724741195367,0.8775660872201413
AD17,0.9532827841502954,0.9456623212006854,0.9560897949706484,0.9335530793216427,0.9285374738466312,0.9242563123613867,0.9652277063507656,0.9524246390857602,0.9527981843447705,1.0,0.9132241877300922,0.921604713215657,0.9172921908139681,0.9082612988494991,0.9340583680279229,0.9441471114589446,0.8958439953085696,0.8925136438988989,0.9334432183178258,0.9382536006767888,0.9133480040517973,0.937847336950846,0.9053284810620624,0.863557456377892,0.9346064491660524,0.9263156670268341,0.8525702917411617,0.945211270268217,0.8946328882098076
AD18,0.9131912094249167,0.9079856779208492,0.897828411510086,0.891278198901762,0.8157287347268123,0.8736096832174173,0.906444559324635,0.8981680951017524,0.9010592104875542,0.9132241877300922,1.0,0.8791740397541699,0.8956359805293169,0.8822047963409815,0.884112842140321,0.8899441467575804,0.8933689759783384,0.8721237425350241,0.9095493473026952,0.8837049577309948,0.8499731816688462,0.8913211268097129,0.9075063631768624,0.8543316578145921,0.8936188525160655,0.8825251622002771,0.837887402332015,0.8946648607345182,0.8417215103468001
GSM3304957,0.9310653960069917,0.9199685003679323,0.905000623449027,0.9198767317164652,0.9093862653535986,0.900716843544377,0.936505282590483,0.9398076394276194,0.911033038649104,0.921604713215657,0.8791740397541699,1.0,0.9031971971088315,0.8909303493222406,0.9376453187736924,0.931181420267402,0.8785896978378198,0.9199904721348998,0.924265661272177,0.9321803515289437,0.9238177703011089,0.9152467300540905,0.8856473339333486,0.8790438811774131,0.9452693363181522,0.9380176449289942,0.8469841154636798,0.936240053582659,0.9358694318608016
GSM3304968,0.9266207526732483,0.9280966542206903,0.9114475138510675,0.8910230523700396,0.8726570604131788,0.8993014200672927,0.9264265603824863,0.9210548901729045,0.8952547677578501,0.9172921908139681,0.8956359805293169,0.9031971971088315,1.0,0.9103815613562205,0.9129752549894383,0.9156949534885198,0.9124704217962908,0.9058799011765236,0.9307419282161047,0.9136219632402053,0.8860298612161628,0.9240499546274963,0.9234228620994164,0.8982972834308692,0.9160569586129306,0.9249863529001268,0.8584845053879072,0.9159679836069503,0.8953911455069405
GSM3304969,0.9299284839887856,0.92953154849969,0.908902535495516,0.8902599585123829,0.8781105834032003,0.8806488480261648,0.9285634474465129,0.9246841227123672,0.891400710502728,0.9082612988494991,0.8822047963409815,0.8909303493222406,0.9103815613562205,1.0,0.8946109098096069,0.9058647890073815,0.9078406441537975,0.8803690316269043,0.9236163076627311,0.9051539480328173,0.8981996643994621,0.9068813448245785,0.9157090728910737,0.8903104295871225,0.8971749495241623,0.8987613620114756,0.870172960823595,0.9126932681116958,0.883632479735348
GSM3304972,0.9341891276041657,0.9307010710190737,0.9182219021889544,0.916236733856761,0.9091201237765137,0.9214480471241439,0.9453431822644064,0.9350052682682563,0.9211416266438689,0.9340583680279229,0.884112842140321,0.9376453187736924,0.9129752549894383,0.8946109098096069,1.0,0.9363971657700902,0.8766779271210898,0.9238391998122404,0.9297173585471129,0.9415364537654867,0.9196558770897454,0.9318284982001188,0.8897815204643846,0.8753398903201146,0.9546979250285806,0.9474426576458062,0.8418803991370337,0.9423192203707704,0.9220265986726451
GSM3304976,0.9456922616003454,0.9455782138567465,0.9369744242224839,0.9361616524446765,0.9365970179330156,0.9284977359198537,0.9533685550245706,0.9466075881940281,0.9391721003720432,0.9441471114589446,0.8899441467575804,0.931181420267402,0.9156949534885198,0.9058647890073815,0.9363971657700902,1.0,0.8850535406480134,0.9174853261198779,0.9300912275770934,0.9347157694844841,0.9307951048757669,0.9313021526518083,0.8953049540318647,0.8754956435458483,0.9365622312481166,0.9407074685700317,0.8601044363496189,0.9479262945727301,0.916268870010377
GSM3304978,0.9135213694672578,0.913305976484456,0.89564902860979,0.8700885705513918,0.8415501345718491,0.8800209137858124,0.9063578339566488,0.9039583656266089,0.8691948060127016,0.8958439953085696,0.8933689759783384,0.8785896978378198,0.9124704217962908,0.9078406441537975,0.8766779271210898,0.8850535406480134,1.0,0.8777562279616863,0.9266336763531426,0.8911873034923896,0.8654611537908267,0.9101868578946667,0.9531883071024692,0.9045950166108551,0.8792063770078697,0.894263390881388,0.8843268845023866,0.8837165044988277,0.8731520745047275
GSM3304979,0.8931606730652708,0.9032519647945155,0.8764946925857178,0.892437066828676,0.8570588952962538,0.9222012736574746,0.9044964591197113,0.8968223552939335,0.8856633199815516,0.8925136438988989,0.8721237425350241,0.9199904721348998,0.9058799011765236,0.8803690316269043,0.9238391998122404,0.9174853261198779,0.8777562279616863,1.0,0.9125168469666509,0.9071704123822963,0.8989464671515706,0.9154921715176202,0.8927785429527886,0.9043062006437672,0.9177938312803986,0.9397901726308974,0.860993790672263,0.9125438156503595,0.9080161809976982
GSM3305004,0.9477681162303311,0.9473532820979664,0.9346818780774125,0.9161198307753115,0.899242800631088,0.9153474932874778,0.9476548451515866,0.9411099740696497,0.9188679662638173,0.9334432183178258,0.9095493473026952,0.924265661272177,0.9307419282161047,0.9236163076627311,0.9297173585471129,0.9300912275770934,0.9266336763531426,0.9125168469666509,1.0,0.9370738985714274,0.9133299636012031,0.932258837229668,0.9341841581812977,0.9038355421648405,0.9377784166525132,0.9376294654615386,0.8725538125726882,0.9363378352545758,0.9103578556961264
GSM3305008,0.948194859608172,0.942226263321754,0.9381266698653761,0.9283982076758901,0.9201729258157181,0.9189878564637175,0.951719151229268,0.9423245840921317,0.9246161656605383,0.9382536006767888,0.8837049577309948,0.9321803515289437,0.9136219632402053,0.9051539480328173,0.9415364537654867,0.9347157694844841,0.8911873034923896,0.9071704123822963,0.9370738985714274,1.0,0.9207108090331301,0.9336518753126646,0.9011224398451527,0.8697757655566586,0.9442672109790861,0.9376099586326003,0.8457690006894869,0.9463540131290754,0.9114401851331956
GSM3305010,0.9338129880371135,0.9333658280395637,0.9112235224518084,0.9173723592912889,0.929031165574578,0.8854898566600076,0.9444814667138152,0.9391035621435527,0.9167484841833449,0.9133480040517973,0.8499731816688462,0.9238177703011089,0.8860298612161628,0.8981996643994621,0.9196558770897454,0.9307951048757669,0.8654611537908267,0.8989464671515706,0.9133299636012031,0.9207108090331301,1.0,0.9157603643836498,0.8709176877470902,0.8680835181580656,0.926333425801132,0.9216768240332898,0.8786796666482037,0.9364119366077654,0.9282803891533412
GSM3305020,0.9354774944470666,0.9356654679114335,0.92970321500574,0.9166537366939865,0.902675277222995,0.9346569782541275,0.9478484344880356,0.9359552188569086,0.9228925523760672,0.937847336950846,0.8913211268097129,0.9152467300540905,0.9240499546274963,0.9068813448245785,0.9318284982001188,0.9313021526518083,0.9101868578946667,0.9154921715176202,0.932258837229668,0.9336518753126646,0.9157603643836498,1.0,0.9175291791771703,0.886569403549077,0.929314000781353,0.9333055756638691,0.8674876160426835,0.9295588993905182,0.9041899873142449
GSM3305021,0.9204166570966353,0.9216469031050248,0.9036623574336019,0.874644721199239,0.8436700712209871,0.8900497702949521,0.913948336848507,0.9108668437642774,0.8761939834071281,0.9053284810620624,0.9075063631768624,0.8856473339333486,0.9234228620994164,0.9157090728910737,0.8897815204643846,0.8953049540318647,0.9531883071024692,0.8927785429527886,0.9341841581812977,0.9011224398451527,0.8709176877470902,0.9175291791771703,1.0,0.9062489053558995,0.8892605443920947,0.9090619961769829,0.8697725812587602,0.8939884694788004,0.8827570706105186
GSM3305025,0.8748415299985083,0.8832020844441202,0.8530801861516807,0.8456165000213557,0.8176177813866561,0.8710625711681764,0.8803582240088186,0.8767274695706299,0.8433315851585479,0.863557456377892,0.8543316578145921,0.8790438811774131,0.8982972834308692,0.8903104295871225,0.8753398903201146,0.8754956435458483,0.9045950166108551,0.9043062006437672,0.9038355421648405,0.8697757655566586,0.8680835181580656,0.886569403549077,0.9062489053558995,1.0,0.8700810607539397,0.894124852268709,0.870343006931798,0.8727006273354121,0.8867823083500779
GSM3305050,0.9459916472841691,0.9391140651984909,0.9240612724334691,0.9253486925909851,0.9206942443176924,0.9163059121922601,0.9484921571084365,0.9496996220734377,0.9275048077948049,0.9346064491660524,0.8936188525160655,0.9452693363181522,0.9160569586129306,0.8971749495241623,0.9546979250285806,0.9365622312481166,0.8792063770078697,0.9177938312803986,0.9377784166525132,0.9442672109790861,0.926333425801132,0.929314000781353,0.8892605443920947,0.8700810607539397,1.0,0.9513524914091391,0.8428511683973033,0.9459325737570232,0.9315322934481569
GSM3305061,0.9328039837880685,0.9331645468925976,0.9140561081916622,0.9118293417890252,0.9073973498596208,0.9303946567382361,0.9379284552489626,0.936501947051572,0.9096258207725773,0.9263156670268341,0.8825251622002771,0.9380176449289942,0.9249863529001268,0.8987613620114756,0.9474426576458062,0.9407074685700317,0.894263390881388,0.9397901726308974,0.9376294654615386,0.9376099586326003,0.9216768240332898,0.9333055756638691,0.9090619961769829,0.894124852268709,0.9513524914091391,1.0,0.8486905050693114,0.9361357878648388,0.9377509744723616
GSM3305068,0.8684053891682715,0.8791931298315595,0.8525130879731113,0.8565586418564672,0.8248825142010898,0.8424152386942709,0.8748718040585863,0.8705494112960003,0.8508526858487759,0.8525702917411617,0.837887402332015,0.8469841154636798,0.8584845053879072,0.870172960823595,0.8418803991370337,0.8601044363496189,0.8843268845023866,0.860993790672263,0.8725538125726882,0.8457690006894869,0.8786796666482037,0.8674876160426835,0.8697725812587602,0.870343006931798,0.8428511683973033,0.8486905050693114,1.0,0.8615958491309599,0.8453258093751582
GSM3305084,0.9502281154440048,0.9480247146604006,0.9429973504506112,0.936789632442258,0.9303610836879228,0.9131816387236262,0.9611275940031274,0.9499191357492257,0.9424724741195367,0.945211270268217,0.8946648607345182,0.936240053582659,0.9159679836069503,0.9126932681116958,0.9423192203707704,0.9479262945727301,0.8837165044988277,0.9125438156503595,0.9363378352545758,0.9463540131290754,0.9364119366077654,0.9295588993905182,0.8939884694788004,0.8727006273354121,0.9459325737570232,0.9361357878648388,0.8615958491309599,1.0,0.9174009932020798
GSM3305088,0.9187620762000585,0.9096672767726595,0.8833947099575011,0.8855791043314102,0.8986969130175331,0.8676562078144966,0.9209355954319834,0.9332053758434764,0.8775660872201413,0.8946328882098076,0.8417215103468001,0.9358694318608016,0.8953911455069405,0.883632479735348,0.9220265986726451,0.916268870010377,0.8731520745047275,0.9080161809976982,0.9103578556961264,0.9114401851331956,0.9282803891533412,0.9041899873142449,0.8827570706105186,0.8867823083500779,0.9315322934481569,0.9377509744723616,0.8453258093751582,0.9174009932020798,1.0
